DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%),humidity,insolation,precipitation,temperature,wind
2020-04-09,배추,10키로망대,상,7396.0,,,0.0,0.0,330.0,0.0,0.0,44.6,11.8,,8.9,2.8
2020-04-10,배추,10키로망대,상,7353.0,-43.0,-0.5813953488372093,0.0,0.0,328.0,-2.0,-0.6060606060606061,52.6,9.2,,10.7,2.4
2020-04-11,배추,10키로망대,상,7216.0,-137.0,-1.863185094519244,0.0,0.0,177.0,-151.0,-46.03658536585366,63.8,8.8,,9.9,2.5
2020-04-12,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,58.6,8.3,,9.9,3.8
2020-04-13,배추,10키로망대,상,8271.0,8271.0,827100.0,0.0,0.0,328.0,151.0,85.31073446327684,39.4,12.2,,12.4,3.1
2020-04-14,배추,10키로망대,상,7889.0,-382.0,-4.618546729536936,0.0,0.0,320.0,-8.0,-2.4390243902439024,46.8,12.1,,13.0,2.4
2020-04-15,배추,10키로망대,상,8209.0,320.0,4.056280897452148,0.0,0.0,294.0,-26.0,-8.125,39.8,10.0,,13.2,2.2
2020-04-16,배추,10키로망대,상,8925.0,716.0,8.72213424290413,0.0,0.0,226.0,-68.0,-23.12925170068027,39.9,10.6,,16.0,2.3
2020-04-17,배추,10키로망대,상,8880.0,-45.0,-0.5042016806722689,0.0,0.0,321.0,95.0,42.0353982300885,77.8,0.3,6.5,12.5,2.4
2020-04-18,배추,10키로망대,상,9209.0,329.0,3.7049549549549554,0.0,0.0,197.0,-124.0,-38.62928348909657,67.9,10.4,,13.5,2.6
2020-04-19,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,75.8,0.3,10.3,12.3,2.7
2020-04-20,배추,10키로망대,상,9429.0,9429.0,942900.0,0.0,0.0,309.0,112.0,56.852791878172596,73.0,1.3,0.1,10.0,3.3
2020-04-21,배추,10키로망대,상,9743.0,314.0,3.3301516597730405,0.0,0.0,259.0,-50.0,-16.181229773462782,49.0,10.1,,7.4,4.4
2020-04-22,배추,10키로망대,상,10129.0,386.0,3.9618187416606796,0.0,0.0,276.0,17.0,6.563706563706563,46.8,5.3,0.0,6.0,4.0
2020-04-23,배추,10키로망대,상,10181.0,52.0,0.5133774311383157,0.0,0.0,307.0,31.0,11.231884057971014,47.8,11.8,,7.9,3.7
2020-04-24,배추,10키로망대,상,10460.0,279.0,2.740398782044986,0.0,0.0,296.0,-11.0,-3.5830618892508146,55.6,12.0,,9.9,3.9
2020-04-25,배추,10키로망대,상,11052.0,592.0,5.659655831739962,0.0,0.0,214.0,-82.0,-27.7027027027027,54.4,8.5,,13.1,3.9
2020-04-26,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,43.1,12.5,,12.3,3.2
2020-04-27,배추,10키로망대,상,11562.0,11562.0,1156200.0,0.0,0.0,365.0,151.0,70.56074766355141,49.8,9.7,,12.9,2.8
2020-04-28,배추,10키로망대,상,11999.0,437.0,3.779622902612005,0.0,0.0,303.0,-62.0,-16.986301369863014,50.0,12.6,,13.9,3.0
2020-04-29,배추,10키로망대,상,12466.0,467.0,3.8919909992499377,0.0,0.0,368.0,65.0,21.45214521452145,48.6,12.2,,14.9,2.6
2020-04-30,배추,10키로망대,상,13613.0,1147.0,9.201026792876624,0.0,0.0,329.0,-39.0,-10.597826086956522,57.1,8.2,,17.1,2.7
2020-05-01,배추,10키로망대,상,12385.0,-1228.0,-9.02078895173731,0.0,0.0,269.0,-60.0,-18.237082066869302,73.6,6.1,,20.2,2.7
2020-05-02,배추,10키로망대,상,10886.0,-1499.0,-12.10335082761405,0.0,0.0,199.0,-70.0,-26.022304832713754,79.6,0.2,0.0,20.3,2.3
2020-05-03,,,,,,,,,,,,68.8,5.9,0.0,21.8,2.0
2020-05-04,배추,10키로망대,상,11370.0,484.0,4.44607753077347,0.0,0.0,347.0,148.0,74.37185929648241,63.9,10.1,,20.2,2.7
2020-05-05,배추,10키로망대,상,9771.0,-1599.0,-14.063324538258575,0.0,0.0,289.0,-58.0,-16.714697406340058,67.9,3.3,,16.0,1.9
2020-05-06,배추,10키로망대,상,11019.0,1248.0,12.77249002149217,0.0,0.0,305.0,16.0,5.536332179930796,50.0,12.8,,19.4,2.1
2020-05-07,배추,10키로망대,상,10003.0,-1016.0,-9.220437426263727,0.0,0.0,325.0,20.0,6.557377049180328,32.5,8.7,,20.7,2.5
2020-05-08,배추,10키로망대,상,10359.0,356.0,3.558932320303909,0.0,0.0,318.0,-7.0,-2.1538461538461537,32.8,7.5,2.3,19.9,2.4
2020-05-09,배추,10키로망대,상,9437.0,-922.0,-8.900473018631141,0.0,0.0,275.0,-43.0,-13.522012578616351,94.4,0.0,24.4,14.2,3.6
2020-05-10,,,,,,,,,,,,88.6,0.4,1.3,14.4,2.5
2020-05-11,배추,10키로망대,상,9420.0,-17.0,-0.18014199427784253,0.0,0.0,407.0,132.0,48.0,61.0,7.2,3.4,16.5,3.0
2020-05-12,배추,10키로망대,상,10205.0,785.0,8.333333333333332,0.0,0.0,322.0,-85.0,-20.884520884520885,69.4,5.0,0.7,14.3,2.9
2020-05-13,배추,10키로망대,상,10150.0,-55.0,-0.5389514943655072,0.0,0.0,341.0,19.0,5.900621118012422,47.3,13.0,,16.1,2.8
2020-05-14,배추,10키로망대,상,10213.0,63.0,0.6206896551724138,0.0,0.0,391.0,50.0,14.66275659824047,35.4,6.6,,19.3,2.0
2020-05-15,배추,10키로망대,상,9620.0,-593.0,-5.806325271712523,0.0,0.0,461.0,70.0,17.902813299232736,81.4,0.0,12.0,16.1,3.0
2020-05-16,배추,10키로망대,상,8570.0,-1050.0,-10.914760914760915,0.0,0.0,289.0,-172.0,-37.310195227765725,90.3,0.6,2.5,16.7,1.6
2020-05-17,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,80.1,3.9,0.0,19.1,1.7
2020-05-18,배추,10키로망대,상,8836.0,8836.0,883600.0,0.0,0.0,407.0,118.0,40.830449826989614,79.4,3.2,29.8,19.1,2.4
2020-05-19,배추,10키로망대,상,9566.0,730.0,8.261656858306926,0.0,0.0,446.0,39.0,9.582309582309582,73.6,3.0,19.0,13.0,3.2
2020-05-20,배추,10키로망대,상,9719.0,153.0,1.5994145933514532,0.0,0.0,348.0,-98.0,-21.973094170403588,60.4,4.5,0.0,14.4,1.9
2020-05-21,배추,10키로망대,상,11446.0,1727.0,17.76931783105258,0.0,0.0,311.0,-37.0,-10.632183908045976,56.1,9.4,,17.4,2.1
2020-05-22,배추,10키로망대,상,10027.0,-1419.0,-12.397344050323257,0.0,0.0,411.0,100.0,32.154340836012864,68.5,0.7,0.0,18.5,1.9
2020-05-23,배추,10키로망대,상,10040.0,13.0,0.12964994514810013,0.0,0.0,265.0,-146.0,-35.523114355231144,66.1,6.8,0.0,20.1,2.2
2020-05-24,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,84.8,1.1,14.5,17.1,2.9
2020-05-25,배추,10키로망대,상,10407.0,10407.0,1040700.0,0.0,0.0,395.0,130.0,49.056603773584904,81.0,2.5,,16.6,2.1
2020-05-26,배추,10키로망대,상,10280.0,-127.0,-1.2203324685307966,0.0,0.0,455.0,60.0,15.18987341772152,81.9,4.8,1.5,16.2,2.1
2020-05-27,배추,10키로망대,상,10592.0,312.0,3.035019455252918,0.0,0.0,299.0,-156.0,-34.285714285714285,68.5,13.2,,17.4,2.6
2020-05-28,배추,10키로망대,상,10875.0,283.0,2.6718277945619335,0.0,0.0,368.0,69.0,23.076923076923077,62.8,8.4,0.0,18.7,1.9
2020-05-29,배추,10키로망대,상,8941.0,-1934.0,-17.78390804597701,0.0,0.0,443.0,75.0,20.380434782608695,65.6,12.7,,20.7,2.0
2020-05-30,배추,10키로망대,상,6940.0,-2001.0,-22.380046974611343,0.0,0.0,397.0,-46.0,-10.383747178329571,57.3,11.3,,22.6,1.9
2020-05-31,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,63.0,5.0,1.0,21.2,2.3
2020-06-01,배추,10키로망대,상,8352.0,8352.0,835200.0,0.0,0.0,391.0,-6.0,-1.5113350125944585,64.3,11.5,0.4,19.7,3.4
2020-06-02,배추,10키로망대,상,7864.0,-488.0,-5.842911877394636,0.0,0.0,494.0,103.0,26.342710997442452,71.0,0.2,2.0,17.9,2.2
2020-06-03,배추,10키로망대,상,5901.0,-1963.0,-24.961851475076298,0.0,0.0,595.0,101.0,20.445344129554655,73.3,9.5,,22.0,2.4
2020-06-04,배추,10키로망대,상,5173.0,-728.0,-12.336892052194544,0.0,0.0,464.0,-131.0,-22.016806722689076,81.1,4.7,0.2,21.9,2.7
2020-06-05,배추,10키로망대,상,6309.0,1136.0,21.960177846510728,0.0,0.0,433.0,-31.0,-6.68103448275862,69.4,8.8,,23.0,1.8
2020-06-06,배추,10키로망대,상,5834.0,-475.0,-7.52892692978285,0.0,0.0,335.0,-98.0,-22.632794457274827,63.6,8.6,,24.6,2.0
2020-06-07,,,,,,,,,,,,69.4,9.2,,22.7,2.3
2020-06-08,배추,10키로망대,상,7711.0,1877.0,32.173465889612615,0.0,0.0,374.0,39.0,11.641791044776118,63.6,11.3,,25.0,2.1
2020-06-09,배추,10키로망대,상,8816.0,1105.0,14.330177668266113,0.0,0.0,325.0,-49.0,-13.101604278074866,51.6,12.9,,26.7,2.3
2020-06-10,배추,10키로망대,상,8598.0,-218.0,-2.472776769509982,0.0,0.0,376.0,51.0,15.692307692307692,63.8,5.2,6.2,25.8,2.0
2020-06-11,배추,10키로망대,상,6838.0,-1760.0,-20.469876715515237,0.0,0.0,457.0,81.0,21.54255319148936,68.3,8.0,0.0,26.1,2.2
2020-06-12,배추,10키로망대,상,8287.0,1449.0,21.19040655162328,0.0,0.0,286.0,-171.0,-37.41794310722101,68.6,0.5,,24.7,1.7
2020-06-13,배추,10키로망대,상,5331.0,-2956.0,-35.67032701822131,0.0,0.0,468.0,182.0,63.63636363636363,52.8,9.7,0.0,26.9,1.9
2020-06-14,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,70.6,8.1,1.1,24.0,2.9
2020-06-15,배추,10키로망대,상,11538.0,11538.0,1153800.0,0.0,0.0,244.0,-224.0,-47.863247863247864,62.3,10.1,,23.0,2.8
2020-06-16,배추,10키로망대,상,9575.0,-1963.0,-17.013347200554687,0.0,0.0,405.0,161.0,65.98360655737704,63.0,7.5,,24.4,2.2
2020-06-17,배추,10키로망대,상,8084.0,-1491.0,-15.571801566579635,0.0,0.0,468.0,63.0,15.555555555555555,58.6,5.9,,24.3,2.0
2020-06-18,배추,10키로망대,상,6644.0,-1440.0,-17.81296387926769,0.0,0.0,480.0,12.0,2.564102564102564,61.4,0.1,,23.4,1.6
2020-06-19,배추,10키로망대,상,5577.0,-1067.0,-16.05960264900662,0.0,0.0,489.0,9.0,1.875,61.4,6.0,0.1,24.7,2.1
2020-06-20,배추,10키로망대,상,5521.0,-56.0,-1.0041240810471581,0.0,0.0,410.0,-79.0,-16.155419222903884,62.6,11.7,,24.9,2.1
2020-06-21,배추,10키로망대,상,0.0,0.0,0.0,0.0,1.0,,,,59.5,13.5,,26.1,2.0
2020-06-22,배추,10키로망대,상,9328.0,9328.0,932800.0,0.0,0.0,347.0,-63.0,-15.365853658536585,50.5,13.3,,28.6,2.0
2020-06-23,배추,10키로망대,상,5844.0,-3484.0,-37.34991423670669,0.0,0.0,489.0,142.0,40.92219020172911,53.5,5.1,0.0,27.3,1.9
2020-06-24,배추,10키로망대,상,9545.0,3701.0,63.32991101984942,0.0,0.0,399.0,-90.0,-18.404907975460123,83.5,0.0,37.6,22.3,2.7
2020-06-25,배추,10키로망대,상,8785.0,-760.0,-7.962283918281823,0.0,0.0,484.0,85.0,21.303258145363408,91.0,0.1,13.3,21.6,2.2
