DATE,humidity,insolation,precipitation,temperature,wind
2020-04-09,44.6,11.8,,8.9,2.8
2020-04-10,52.6,9.2,,10.7,2.4
2020-04-11,63.8,8.8,,9.9,2.5
2020-04-12,58.6,8.3,,9.9,3.8
2020-04-13,39.4,12.2,,12.4,3.1
2020-04-14,46.8,12.1,,13.0,2.4
2020-04-15,39.8,10.0,,13.2,2.2
2020-04-16,39.9,10.6,,16.0,2.3
2020-04-17,77.8,0.3,6.5,12.5,2.4
2020-04-18,67.9,10.4,,13.5,2.6
2020-04-19,75.8,0.3,10.3,12.3,2.7
2020-04-20,73.0,1.3,0.1,10.0,3.3
2020-04-21,49.0,10.1,,7.4,4.4
2020-04-22,46.8,5.3,0.0,6.0,4.0
2020-04-23,47.8,11.8,,7.9,3.7
2020-04-24,55.6,12.0,,9.9,3.9
2020-04-25,54.4,8.5,,13.1,3.9
2020-04-26,43.1,12.5,,12.3,3.2
2020-04-27,49.8,9.7,,12.9,2.8
2020-04-28,50.0,12.6,,13.9,3.0
2020-04-29,48.6,12.2,,14.9,2.6
2020-04-30,57.1,8.2,,17.1,2.7
2020-05-01,73.6,6.1,,20.2,2.7
2020-05-02,79.6,0.2,0.0,20.3,2.3
2020-05-03,68.8,5.9,0.0,21.8,2.0
2020-05-04,63.9,10.1,,20.2,2.7
2020-05-05,67.9,3.3,,16.0,1.9
2020-05-06,50.0,12.8,,19.4,2.1
2020-05-07,32.5,8.7,,20.7,2.5
2020-05-08,32.8,7.5,2.3,19.9,2.4
2020-05-09,94.4,0.0,24.4,14.2,3.6
2020-05-10,88.6,0.4,1.3,14.4,2.5
2020-05-11,61.0,7.2,3.4,16.5,3.0
2020-05-12,69.4,5.0,0.7,14.3,2.9
2020-05-13,47.3,13.0,,16.1,2.8
2020-05-14,35.4,6.6,,19.3,2.0
2020-05-15,81.4,0.0,12.0,16.1,3.0
2020-05-16,90.3,0.6,2.5,16.7,1.6
2020-05-17,80.1,3.9,0.0,19.1,1.7
2020-05-18,79.4,3.2,29.8,19.1,2.4
2020-05-19,73.6,3.0,19.0,13.0,3.2
2020-05-20,60.4,4.5,0.0,14.4,1.9
2020-05-21,56.1,9.4,,17.4,2.1
2020-05-22,68.5,0.7,0.0,18.5,1.9
2020-05-23,66.1,6.8,0.0,20.1,2.2
2020-05-24,84.8,1.1,14.5,17.1,2.9
2020-05-25,81.0,2.5,,16.6,2.1
2020-05-26,81.9,4.8,1.5,16.2,2.1
2020-05-27,68.5,13.2,,17.4,2.6
2020-05-28,62.8,8.4,0.0,18.7,1.9
2020-05-29,65.6,12.7,,20.7,2.0
2020-05-30,57.3,11.3,,22.6,1.9
2020-05-31,63.0,5.0,1.0,21.2,2.3
2020-06-01,64.3,11.5,0.4,19.7,3.4
2020-06-02,71.0,0.2,2.0,17.9,2.2
2020-06-03,73.3,9.5,,22.0,2.4
2020-06-04,81.1,4.7,0.2,21.9,2.7
2020-06-05,69.4,8.8,,23.0,1.8
2020-06-06,63.6,8.6,,24.6,2.0
2020-06-07,69.4,9.2,,22.7,2.3
2020-06-08,63.6,11.3,,25.0,2.1
2020-06-09,51.6,12.9,,26.7,2.3
2020-06-10,63.8,5.2,6.2,25.8,2.0
2020-06-11,68.3,8.0,0.0,26.1,2.2
2020-06-12,68.6,0.5,,24.7,1.7
2020-06-13,52.8,9.7,0.0,26.9,1.9
2020-06-14,70.6,8.1,1.1,24.0,2.9
2020-06-15,62.3,10.1,,23.0,2.8
2020-06-16,63.0,7.5,,24.4,2.2
2020-06-17,58.6,5.9,,24.3,2.0
2020-06-18,61.4,0.1,,23.4,1.6
2020-06-19,61.4,6.0,0.1,24.7,2.1
2020-06-20,62.6,11.7,,24.9,2.1
2020-06-21,59.5,13.5,,26.1,2.0
2020-06-22,50.5,13.3,,28.6,2.0
2020-06-23,53.5,5.1,0.0,27.3,1.9
2020-06-24,83.5,0.0,37.6,22.3,2.7
2020-06-25,91.0,0.1,13.3,21.6,2.2
2020-06-26,82.1,3.1,2.1,21.8,3.2
2020-06-27,70.4,7.4,0.0,24.1,2.0
2020-06-28,70.5,12.4,,25.2,2.4
2020-06-29,77.0,1.7,11.9,23.8,2.4
2020-06-30,83.0,0.0,64.7,20.1,4.0
2020-07-01,79.3,0.2,0.0,21.1,1.9
2020-07-02,74.5,5.4,,24.2,1.9
2020-07-03,63.5,9.6,0.1,25.5,2.6
2020-07-04,63.9,9.5,1.6,24.2,2.1
2020-07-05,68.6,6.4,,23.8,1.9
2020-07-06,66.6,5.0,,25.6,2.1
2020-07-07,75.5,4.0,0.0,24.1,2.5
2020-07-08,71.9,10.0,,25.5,2.0
2020-07-09,64.6,7.7,,27.5,1.7
2020-07-10,75.0,3.1,2.2,24.5,2.8
2020-07-11,62.6,6.6,,25.8,2.6
2020-07-12,71.9,0.0,2.9,23.5,2.4
2020-07-13,94.8,0.0,47.6,18.7,4.0
2020-07-14,79.4,0.1,11.5,20.3,2.8
2020-07-15,63.1,9.3,,23.4,2.0
2020-07-16,70.9,10.2,,25.0,1.8
2020-07-17,72.0,7.5,0.0,26.0,1.9
2020-07-18,71.6,4.3,,26.1,1.6
2020-07-19,81.6,0.0,29.1,24.0,2.7
2020-07-20,86.3,0.0,3.6,23.8,3.7
2020-07-21,77.0,4.0,0.0,25.0,1.6
2020-07-22,89.3,0.0,11.5,23.7,1.6
2020-07-23,95.5,0.0,103.1,21.1,3.6
2020-07-24,74.3,1.0,2.9,22.5,4.6
2020-07-25,69.3,1.9,0.0,24.3,3.1
2020-07-26,69.3,5.6,0.0,25.4,2.0
2020-07-27,86.4,0.0,2.2,24.3,2.2
2020-07-28,84.8,0.0,0.4,24.4,2.0
2020-07-29,95.8,0.0,50.1,23.7,2.0
2020-07-30,85.5,3.0,0.1,25.3,2.1
2020-07-31,81.9,5.0,1.5,26.2,2.0
2020-08-01,90.9,0.0,39.1,25.3,1.7
2020-08-02,96.3,0.0,31.4,24.9,2.3
2020-08-03,96.3,0.0,102.6,25.0,3.0
2020-08-04,89.3,0.4,3.9,27.0,3.5
2020-08-05,92.1,0.1,18.5,26.5,1.9
2020-08-06,92.8,0.2,75.7,24.1,3.3
2020-08-07,85.3,0.0,0.0,24.3,1.8
2020-08-08,89.5,1.8,19.1,24.2,2.3
2020-08-09,95.4,0.0,50.3,24.9,2.6
2020-08-10,91.6,0.2,44.6,26.5,2.0
2020-08-11,92.5,0.5,97.0,24.6,2.2
2020-08-12,83.9,2.1,,27.2,1.9
2020-08-13,82.4,0.2,,28.0,2.5
2020-08-14,86.1,0.0,0.4,27.1,3.5
2020-08-15,96.0,0.0,69.0,26.1,1.9
2020-08-16,82.6,2.4,,27.4,3.0
2020-08-17,77.9,5.8,,28.2,2.3
2020-08-18,76.3,7.9,,27.5,1.6
2020-08-19,76.8,9.4,,27.1,2.0
2020-08-20,76.0,3.1,,27.7,1.7
2020-08-21,83.1,0.8,2.5,26.6,1.6
2020-08-22,87.4,0.6,42.6,24.3,2.1
2020-08-23,78.4,6.8,,25.3,1.9
2020-08-24,71.6,8.8,,27.8,2.2
2020-08-25,69.5,7.6,,29.9,2.1
2020-08-26,68.3,7.5,0.6,30.2,3.4
2020-08-27,84.6,0.5,8.7,27.1,3.6
2020-08-28,89.1,2.0,13.6,27.3,1.6
2020-08-29,90.1,1.7,13.6,26.8,1.3
2020-08-30,88.8,2.4,42.5,26.8,2.1
2020-08-31,77.9,1.9,0.0,26.4,2.8
2020-09-01,72.4,1.0,0.0,26.6,1.9
2020-09-02,91.3,0.0,33.3,24.3,2.3
2020-09-03,82.0,2.8,29.8,22.7,4.8
2020-09-04,63.9,10.1,,23.3,2.7
2020-09-05,66.6,3.3,,23.3,2.0
2020-09-06,80.0,0.0,6.4,21.7,2.7
2020-09-07,93.5,0.0,61.0,19.2,4.2
2020-09-08,71.5,9.5,0.0,23.4,4.2
2020-09-09,83.4,3.1,1.3,21.1,2.1
2020-09-10,75.8,9.0,3.9,22.8,2.0
2020-09-11,72.6,4.5,1.2,22.4,2.8
2020-09-12,83.8,0.0,5.7,20.2,2.0
2020-09-13,70.4,9.8,,21.5,1.9
2020-09-14,79.3,5.7,0.0,21.3,1.8
2020-09-15,76.4,5.1,,23.0,1.6
2020-09-16,79.9,0.3,0.3,22.5,1.9
2020-09-17,70.3,0.7,,21.3,2.1
2020-09-18,62.0,9.8,,21.5,2.8
2020-09-19,59.3,9.7,0.3,21.2,2.2
2020-09-20,57.6,11.4,,19.7,2.0
2020-09-21,56.1,9.6,,19.1,1.7
2020-09-22,55.3,10.7,,20.2,2.8
2020-09-23,59.9,7.2,,19.2,3.3
2020-09-24,59.6,8.0,,20.6,3.7
2020-09-25,64.1,3.5,,20.1,2.5
2020-09-26,62.5,8.0,,19.3,2.4
2020-09-27,63.3,9.8,,20.4,2.0
2020-09-28,66.0,10.5,,20.7,2.0
2020-09-29,67.6,6.3,,19.6,1.9
2020-09-30,78.0,4.9,38.3,19.6,1.7
2020-10-01,74.9,2.5,,18.8,2.1
2020-10-02,79.6,1.9,0.0,19.2,2.3
2020-10-03,72.5,1.8,0.0,19.9,1.6
2020-10-04,65.1,4.3,0.0,16.6,2.8
2020-10-05,57.3,10.5,,13.3,2.5
2020-10-06,55.9,10.8,,14.2,2.0
