DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%),humidity,insolation,precipitation,temperature,wind
2020-04-09,양파,1키로,상,1007.0,,,0.0,0.0,922.0,0.0,0.0,44.6,11.8,,8.9,2.8
2020-04-10,양파,1키로,상,879.0,-128.0,-12.711022840119165,0.0,0.0,782.0,-140.0,-15.184381778741866,52.6,9.2,,10.7,2.4
2020-04-11,양파,1키로,상,840.0,-39.0,-4.436860068259386,0.0,0.0,751.0,-31.0,-3.9641943734015346,63.8,8.8,,9.9,2.5
2020-04-12,양파,1키로,상,0.0,0.0,0.0,0.0,1.0,,,,58.6,8.3,,9.9,3.8
2020-04-13,양파,1키로,상,937.0,937.0,93700.0,0.0,0.0,703.0,-48.0,-6.391478029294275,39.4,12.2,,12.4,3.1
2020-04-14,양파,1키로,상,960.0,23.0,2.454642475987193,0.0,0.0,792.0,89.0,12.660028449502134,46.8,12.1,,13.0,2.4
2020-04-15,양파,1키로,상,997.0,37.0,3.854166666666667,0.0,0.0,751.0,-41.0,-5.1767676767676765,39.8,10.0,,13.2,2.2
2020-04-16,양파,1키로,상,961.0,-36.0,-3.6108324974924777,0.0,0.0,936.0,185.0,24.63382157123835,39.9,10.6,,16.0,2.3
2020-04-17,양파,1키로,상,999.0,38.0,3.954214360041623,0.0,0.0,715.0,-221.0,-23.61111111111111,77.8,0.3,6.5,12.5,2.4
2020-04-18,양파,1키로,상,1073.0,74.0,7.4074074074074066,0.0,0.0,603.0,-112.0,-15.664335664335665,67.9,10.4,,13.5,2.6
2020-04-19,양파,1키로,상,0.0,0.0,0.0,0.0,1.0,,,,75.8,0.3,10.3,12.3,2.7
2020-04-20,양파,1키로,상,1122.0,1122.0,112200.0,0.0,0.0,902.0,299.0,49.585406301824214,73.0,1.3,0.1,10.0,3.3
2020-04-21,양파,1키로,상,1065.0,-57.0,-5.080213903743315,0.0,0.0,716.0,-186.0,-20.620842572062084,49.0,10.1,,7.4,4.4
2020-04-22,양파,1키로,상,955.0,-110.0,-10.328638497652582,0.0,0.0,957.0,241.0,33.659217877094974,46.8,5.3,0.0,6.0,4.0
2020-04-23,양파,1키로,상,893.0,-62.0,-6.492146596858639,0.0,0.0,1011.0,54.0,5.6426332288401255,47.8,11.8,,7.9,3.7
2020-04-24,양파,1키로,상,889.0,-4.0,-0.4479283314669653,0.0,0.0,871.0,-140.0,-13.847675568743817,55.6,12.0,,9.9,3.9
2020-04-25,양파,1키로,상,871.0,-18.0,-2.0247469066366706,0.0,0.0,884.0,13.0,1.4925373134328357,54.4,8.5,,13.1,3.9
2020-04-26,양파,1키로,상,0.0,0.0,0.0,0.0,1.0,,,,43.1,12.5,,12.3,3.2
2020-04-27,양파,1키로,상,920.0,920.0,92000.0,0.0,0.0,949.0,65.0,7.352941176470589,49.8,9.7,,12.9,2.8
2020-04-28,양파,1키로,상,854.0,-66.0,-7.173913043478261,0.0,0.0,1052.0,103.0,10.853530031612223,50.0,12.6,,13.9,3.0
2020-04-29,양파,1키로,상,843.0,-11.0,-1.288056206088993,0.0,0.0,1044.0,-8.0,-0.7604562737642585,48.6,12.2,,14.9,2.6
2020-04-30,양파,1키로,상,899.0,56.0,6.642941874258599,0.0,0.0,758.0,-286.0,-27.39463601532567,57.1,8.2,,17.1,2.7
2020-05-01,양파,1키로,상,941.0,42.0,4.671857619577309,0.0,0.0,852.0,94.0,12.401055408970976,73.6,6.1,,20.2,2.7
2020-05-02,양파,1키로,상,914.0,-27.0,-2.869287991498406,0.0,0.0,960.0,108.0,12.676056338028168,79.6,0.2,0.0,20.3,2.3
2020-05-03,,,,,,,,,,,,68.8,5.9,0.0,21.8,2.0
2020-05-04,양파,1키로,상,926.0,12.0,1.312910284463895,0.0,0.0,1034.0,74.0,7.708333333333334,63.9,10.1,,20.2,2.7
2020-05-05,양파,1키로,상,887.0,-39.0,-4.211663066954643,0.0,0.0,819.0,-215.0,-20.79303675048356,67.9,3.3,,16.0,1.9
2020-05-06,양파,1키로,상,841.0,-46.0,-5.186020293122886,0.0,0.0,815.0,-4.0,-0.4884004884004884,50.0,12.8,,19.4,2.1
2020-05-07,양파,1키로,상,813.0,-28.0,-3.329369797859691,0.0,0.0,938.0,123.0,15.092024539877299,32.5,8.7,,20.7,2.5
2020-05-08,양파,1키로,상,750.0,-63.0,-7.7490774907749085,0.0,0.0,1089.0,151.0,16.098081023454156,32.8,7.5,2.3,19.9,2.4
2020-05-09,양파,1키로,상,778.0,28.0,3.733333333333334,0.0,0.0,753.0,-336.0,-30.853994490358126,94.4,0.0,24.4,14.2,3.6
2020-05-10,,,,,,,,,,,,88.6,0.4,1.3,14.4,2.5
2020-05-11,양파,1키로,상,774.0,-4.0,-0.5141388174807198,0.0,0.0,983.0,230.0,30.54448871181939,61.0,7.2,3.4,16.5,3.0
