DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2025-04-12,감자,345,263,241,48,0,62,123,112,0
2025-04-11,감자,263,293,203,21,8,30,137,67,0
2025-04-10,감자,292,365,308,33,9,48,94,109,0
2025-04-09,감자,363,364,213,49,3,70,128,115,0
2025-04-08,감자,363,368,254,25,8,66,157,108,0
2025-04-07,감자,367,0,0,32,18,60,145,113,0
2025-04-05,감자,216,329,282,25,2,21,96,72,0
2025-04-04,감자,329,242,273,42,0,48,120,119,0
2025-04-03,감자,241,317,220,24,9,32,90,87,0
2025-04-02,감자,317,237,309,39,3,70,115,90,0
2025-04-01,감자,238,294,262,9,0,42,93,93,0
2025-03-31,감자,294,0,0,29,3,60,116,86,0
2025-03-29,감자,254,269,311,30,6,29,115,73,0
2025-03-28,감자,270,229,365,42,7,33,112,75,0
2025-03-27,감자,230,297,235,31,20,34,95,49,0
2025-03-26,감자,297,303,333,25,22,39,135,76,0
2025-03-25,감자,303,408,209,33,8,33,148,81,0
2025-03-24,감자,408,0,0,75,5,40,154,134,0
2025-03-22,감자,279,261,179,57,0,14,134,74,0
2025-03-21,감자,261,250,319,48,33,19,97,64,0
2025-03-20,감자,249,238,245,44,6,53,89,58,0
2025-03-19,감자,238,261,239,52,2,18,84,82,0
2025-03-18,감자,262,289,274,42,28,33,67,91,0
2025-03-17,감자,289,0,0,35,14,50,114,76,0
2025-03-15,감자,155,288,318,21,8,10,104,12,0
2025-03-14,감자,287,251,306,15,13,39,114,107,0
2025-03-13,감자,251,286,235,36,33,18,115,49,0
2025-03-12,감자,285,291,250,47,21,49,90,79,0
2025-03-11,감자,291,415,298,41,24,24,100,102,0
2025-03-10,감자,416,0,0,87,6,55,154,113,0
2025-03-08,감자,333,351,271,23,13,76,139,82,0
2025-03-07,감자,350,378,251,52,9,42,159,89,0
2025-03-06,감자,378,22,231,19,22,59,157,121,0
2025-03-05,감자,22,209,276,0,0,0,22,0,0
2025-03-04,감자,208,270,287,53,8,29,54,65,0
2025-03-03,감자,271,0,0,30,3,57,100,80,0
2025-03-01,감자,219,230,219,14,7,27,116,55,0
2025-02-28,감자,229,482,533,30,9,28,118,45,0
2025-02-27,감자,241,328,352,78,2,39,78,44,0
2025-02-26,감자,328,271,269,60,14,81,117,56,0
2025-02-25,감자,270,298,0,70,15,32,93,61,0
2025-02-24,감자,298,0,134,45,10,50,110,83,0
2025-02-22,감자,182,198,274,41,15,15,77,34,0
2025-02-21,감자,199,271,238,30,31,18,87,32,0
2025-02-20,감자,272,271,248,60,16,52,69,74,0
2025-02-19,감자,271,379,313,16,7,32,115,101,0
2025-02-18,감자,380,381,0,74,32,10,129,134,0
2025-02-17,감자,382,0,185,28,4,65,169,115,0
2025-02-15,감자,310,355,202,66,0,41,100,104,0
2025-02-14,감자,354,389,197,38,21,44,131,121,0
2025-02-13,감자,388,19,216,78,15,27,175,94,0
2025-02-12,감자,19,270,0,0,0,0,19,0,0
2025-02-11,감자,270,255,0,27,1,46,116,80,0
2025-02-10,감자,254,0,0,61,0,37,103,54,0
2025-02-08,감자,209,184,187,33,13,35,67,62,0
2025-02-07,감자,183,147,200,23,0,24,98,39,0
2025-02-06,감자,147,185,195,14,13,28,73,19,0
2025-02-05,감자,185,246,236,29,0,43,73,40,0
2025-02-04,감자,245,305,0,34,7,10,112,83,0
2025-02-03,감자,305,0,196,38,4,59,124,80,0
2025-02-01,감자,248,0,269,40,4,65,56,84,0
2025-01-27,감자,102,0,188,0,0,9,37,57,0
2025-01-25,감자,188,184,157,33,1,45,50,61,0
2025-01-24,감자,183,229,180,61,1,29,49,44,0
2025-01-23,감자,229,262,309,43,0,27,92,67,0
2025-01-22,감자,262,294,266,48,1,69,64,80,0
2025-01-21,감자,293,392,0,52,22,29,117,74,0
2025-01-20,감자,392,0,201,37,7,86,138,124,0
2025-01-18,감자,208,287,217,34,2,53,76,43,0
2025-01-17,감자,287,299,234,43,16,48,117,63,0
2025-01-16,감자,299,311,280,30,4,38,130,97,0
2025-01-15,감자,311,299,238,57,15,26,99,114,0
2025-01-14,감자,298,233,0,39,8,37,142,73,0
2025-01-13,감자,233,0,217,23,10,8,116,76,0
2025-01-11,감자,93,119,359,10,9,3,57,14,0
2025-01-10,감자,119,241,276,16,7,8,64,24,0
2025-01-09,감자,241,223,236,34,9,54,77,67,0
2025-01-08,감자,223,353,277,34,2,29,99,59,0
2025-01-07,감자,353,350,0,51,3,61,123,115,0
2025-01-06,감자,349,0,217,62,1,54,149,84,0
2025-01-04,감자,276,284,285,48,0,60,98,70,0
2025-01-03,감자,284,0,402,36,0,54,123,71,0
2024-12-31,감자,128,253,0,22,0,42,54,10,0
2024-12-30,감자,254,0,162,18,2,42,70,121,0
2024-12-28,감자,145,245,275,24,0,14,65,41,0
2024-12-27,감자,244,187,273,32,14,20,88,91,0
