DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%),humidity,insolation,precipitation,temperature,wind
2020-04-09,감자,20키로상자,상,44130.0,,,0.0,0.0,331.0,0.0,0.0,44.6,11.8,,8.9,2.8
2020-04-10,감자,20키로상자,상,44612.0,482.0,1.0922275096306369,0.0,0.0,293.0,-38.0,-11.48036253776435,52.6,9.2,,10.7,2.4
2020-04-11,감자,20키로상자,상,46194.0,1582.0,3.5461310858065094,0.0,0.0,338.0,45.0,15.358361774744028,63.8,8.8,,9.9,2.5
2020-04-12,감자,20키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,58.6,8.3,,9.9,3.8
2020-04-13,감자,20키로상자,상,45021.0,45021.0,4502100.0,0.0,0.0,419.0,81.0,23.964497041420117,39.4,12.2,,12.4,3.1
2020-04-14,감자,20키로상자,상,44801.0,-220.0,-0.4886608471602142,0.0,0.0,355.0,-64.0,-15.274463007159905,46.8,12.1,,13.0,2.4
2020-04-15,감자,20키로상자,상,44592.0,-209.0,-0.46650744403026717,0.0,0.0,364.0,9.0,2.535211267605634,39.8,10.0,,13.2,2.2
2020-04-16,감자,20키로상자,상,45596.0,1004.0,2.251524937208468,0.0,0.0,290.0,-74.0,-20.32967032967033,39.9,10.6,,16.0,2.3
2020-04-17,감자,20키로상자,상,44534.0,-1062.0,-2.3291516799719276,0.0,0.0,313.0,23.0,7.931034482758621,77.8,0.3,6.5,12.5,2.4
2020-04-18,감자,20키로상자,상,45368.0,834.0,1.8727264561907757,0.0,0.0,226.0,-87.0,-27.79552715654952,67.9,10.4,,13.5,2.6
2020-04-19,감자,20키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,75.8,0.3,10.3,12.3,2.7
2020-04-20,감자,20키로상자,상,44862.0,44862.0,4486200.0,0.0,0.0,363.0,137.0,60.61946902654868,73.0,1.3,0.1,10.0,3.3
2020-04-21,감자,20키로상자,상,47894.0,3032.0,6.75850385627034,0.0,0.0,240.0,-123.0,-33.88429752066116,49.0,10.1,,7.4,4.4
2020-04-22,감자,20키로상자,상,46460.0,-1434.0,-2.9941119973274315,0.0,0.0,359.0,119.0,49.583333333333336,46.8,5.3,0.0,6.0,4.0
2020-04-23,감자,20키로상자,상,46626.0,166.0,0.3572965992251399,0.0,0.0,324.0,-35.0,-9.749303621169917,47.8,11.8,,7.9,3.7
2020-04-24,감자,20키로상자,상,46146.0,-480.0,-1.0294685368678418,0.0,0.0,315.0,-9.0,-2.7777777777777777,55.6,12.0,,9.9,3.9
2020-04-25,감자,20키로상자,상,48432.0,2286.0,4.953842153166038,0.0,0.0,264.0,-51.0,-16.19047619047619,54.4,8.5,,13.1,3.9
2020-04-26,감자,20키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,43.1,12.5,,12.3,3.2
2020-04-27,감자,20키로상자,상,49870.0,49870.0,4987000.0,0.0,0.0,426.0,162.0,61.36363636363637,49.8,9.7,,12.9,2.8
2020-04-28,감자,20키로상자,상,54101.0,4231.0,8.484058552235812,0.0,0.0,282.0,-144.0,-33.80281690140845,50.0,12.6,,13.9,3.0
2020-04-29,감자,20키로상자,상,52841.0,-1260.0,-2.3289772832295155,0.0,0.0,374.0,92.0,32.62411347517731,48.6,12.2,,14.9,2.6
2020-04-30,감자,20키로상자,상,53289.0,448.0,0.8478264983630135,0.0,0.0,356.0,-18.0,-4.81283422459893,57.1,8.2,,17.1,2.7
2020-05-01,감자,20키로상자,상,51368.0,-1921.0,-3.6048715494755017,0.0,0.0,339.0,-17.0,-4.775280898876404,73.6,6.1,,20.2,2.7
2020-05-02,감자,20키로상자,상,49578.0,-1790.0,-3.4846597103254946,0.0,0.0,332.0,-7.0,-2.0648967551622417,79.6,0.2,0.0,20.3,2.3
2020-05-03,,,,,,,,,,,,68.8,5.9,0.0,21.8,2.0
2020-05-04,감자,20키로상자,상,48445.0,-1133.0,-2.2852878292791154,0.0,0.0,351.0,19.0,5.72289156626506,63.9,10.1,,20.2,2.7
2020-05-05,감자,20키로상자,상,50356.0,1911.0,3.9446795334915885,0.0,0.0,274.0,-77.0,-21.937321937321936,67.9,3.3,,16.0,1.9
2020-05-06,감자,20키로상자,상,50913.0,557.0,1.106124394312495,0.0,0.0,289.0,15.0,5.474452554744526,50.0,12.8,,19.4,2.1
2020-05-07,감자,20키로상자,상,49509.0,-1404.0,-2.7576453950857345,0.0,0.0,314.0,25.0,8.650519031141869,32.5,8.7,,20.7,2.5
