DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2025-04-12,무,476,379,498,28,0,0,0,0,448
2025-04-11,무,379,595,577,13,0,0,0,0,366
2025-04-10,무,595,788,555,55,0,0,0,4,536
2025-04-09,무,789,671,452,122,0,0,0,1,665
2025-04-08,무,671,717,516,95,0,0,0,4,572
2025-04-07,무,717,0,0,102,0,0,0,4,611
2025-04-05,무,585,513,550,59,0,0,0,0,526
2025-04-04,무,512,672,769,63,0,0,0,0,450
2025-04-03,무,672,744,633,104,0,0,0,0,568
2025-04-02,무,744,647,546,93,0,0,0,0,651
2025-04-01,무,647,572,565,60,0,0,0,4,583
2025-03-31,무,572,0,0,41,0,0,0,4,527
2025-03-29,무,274,573,595,20,0,0,0,0,254
2025-03-28,무,573,714,272,58,0,9,0,0,506
2025-03-27,무,715,749,429,51,0,5,0,4,654
2025-03-26,무,749,546,515,88,0,0,0,4,657
2025-03-25,무,545,547,623,39,0,0,0,0,507
2025-03-24,무,546,0,0,68,0,0,0,0,479
2025-03-22,무,618,644,593,73,0,0,0,4,541
2025-03-21,무,644,562,403,66,0,0,0,4,574
2025-03-20,무,562,582,507,66,9,0,0,4,483
2025-03-19,무,582,442,509,59,0,0,0,4,519
2025-03-18,무,442,581,777,53,0,0,0,0,389
2025-03-17,무,582,0,0,65,0,0,0,4,512
2025-03-15,무,585,630,704,71,0,0,0,32,482
2025-03-14,무,629,643,684,57,0,0,0,8,565
2025-03-13,무,644,661,507,89,0,0,0,4,550
2025-03-12,무,661,781,496,78,0,0,0,0,583
2025-03-11,무,781,908,570,98,0,0,0,4,679
2025-03-10,무,908,0,0,117,0,0,0,4,787
2025-03-08,무,682,540,382,54,0,0,0,4,623
2025-03-07,무,541,639,472,31,0,0,0,4,505
2025-03-06,무,639,0,654,71,0,0,0,5,563
2025-03-04,무,672,713,"1,085",87,0,0,0,4,581
2025-03-03,무,713,0,0,100,0,0,0,9,604
2025-03-01,무,525,546,803,39,0,0,0,4,483
2025-02-28,무,546,"1,006","1,158",48,0,0,0,4,494
2025-02-27,무,503,517,521,47,0,0,0,4,452
2025-02-26,무,517,539,311,48,0,0,0,4,465
2025-02-25,무,540,529,0,46,0,0,0,4,489
2025-02-24,무,529,0,382,76,0,0,0,0,453
2025-02-22,무,571,664,434,58,0,0,0,4,509
2025-02-21,무,664,562,463,58,0,0,0,4,602
2025-02-20,무,562,468,538,98,0,0,0,4,460
2025-02-19,무,468,676,508,77,0,0,0,2,389
2025-02-18,무,677,743,0,49,0,0,0,20,607
2025-02-17,무,742,0,532,86,0,0,0,15,642
2025-02-15,무,752,720,534,78,0,0,0,26,648
2025-02-14,무,719,651,460,86,0,0,0,12,622
2025-02-13,무,651,6,320,53,0,0,0,0,598
2025-02-12,무,6,562,0,0,0,0,6,0,0
2025-02-11,무,562,650,0,79,0,0,0,0,483
2025-02-10,무,650,0,0,55,0,0,0,8,587
2025-02-08,무,507,537,678,32,0,0,0,6,468
2025-02-07,무,538,483,773,33,0,4,0,4,496
2025-02-06,무,483,471,670,34,0,0,0,13,436
2025-02-05,무,471,519,978,56,0,0,0,0,415
2025-02-04,무,519,438,0,63,0,0,0,4,452
2025-02-03,무,438,0,592,65,0,0,0,13,360
2025-02-01,무,305,0,973,21,0,0,0,9,276
2025-01-28,무,337,862,0,0,0,0,0,10,328
2025-01-27,무,862,0,345,58,0,0,0,0,804
2025-01-25,무,556,671,523,55,0,0,0,0,502
2025-01-24,무,672,652,425,55,15,4,0,9,588
2025-01-23,무,652,700,627,69,0,0,0,10,573
2025-01-22,무,700,786,409,62,0,0,0,34,604
2025-01-21,무,786,956,0,78,0,0,0,46,662
2025-01-20,무,957,0,362,67,0,0,0,14,875
2025-01-18,무,808,860,484,60,0,0,0,26,723
2025-01-17,무,860,835,665,68,0,0,0,12,780
2025-01-16,무,836,633,585,78,0,0,0,17,740
2025-01-15,무,633,387,601,74,0,0,0,0,559
2025-01-14,무,388,523,0,23,0,0,0,0,364
2025-01-13,무,524,0,348,47,0,0,0,4,472
2025-01-11,무,482,571,518,40,0,0,0,0,442
2025-01-10,무,571,586,565,77,0,0,1,0,493
2025-01-09,무,586,807,501,45,0,0,0,0,541
2025-01-08,무,807,761,657,76,0,0,0,4,727
2025-01-07,무,761,860,0,95,0,0,0,4,662
2025-01-06,무,861,0,663,89,0,0,0,0,771
2025-01-04,무,613,770,800,48,0,0,0,9,556
2025-01-03,무,770,0,908,56,0,0,0,4,710
2024-12-31,무,356,508,0,0,0,0,0,0,356
2024-12-30,무,507,0,688,42,0,0,0,0,466
2024-12-28,무,341,568,423,37,0,2,0,13,289
2024-12-27,무,567,706,431,40,0,0,0,13,515
2024-12-26,무,706,655,509,52,0,0,0,12,642
2024-12-25,무,656,562,526,49,0,0,0,4,602
2024-12-24,무,562,615,0,46,0,0,0,4,512
2024-12-23,무,614,0,191,68,0,9,0,9,529
2024-12-21,무,459,357,557,28,2,9,0,9,412
2024-12-20,무,356,339,664,38,0,0,0,0,319
2024-12-19,무,339,585,546,42,1,0,0,0,296
2024-12-18,무,585,680,308,47,0,0,0,4,534
2024-12-17,무,680,790,0,38,0,0,0,4,638
2024-12-16,무,790,0,265,91,0,0,0,17,682
2024-12-14,무,668,659,291,30,0,0,0,10,629
2024-12-13,무,659,400,278,36,0,0,0,9,614
