DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%),humidity,insolation,precipitation,temperature,wind
2020-04-09,고구마,10키로상자,상,35239.0,,,0.0,0.0,120.0,0.0,0.0,44.6,11.8,,8.9,2.8
2020-04-10,고구마,10키로상자,상,35673.0,434.0,1.2315899997162234,0.0,0.0,120.0,0.0,0.0,52.6,9.2,,10.7,2.4
2020-04-11,고구마,10키로상자,상,38539.0,2866.0,8.034087405040227,0.0,0.0,97.0,-23.0,-19.166666666666668,63.8,8.8,,9.9,2.5
2020-04-12,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,58.6,8.3,,9.9,3.8
2020-04-13,고구마,10키로상자,상,33706.0,33706.0,3370600.0,0.0,0.0,161.0,64.0,65.97938144329896,39.4,12.2,,12.4,3.1
2020-04-14,고구마,10키로상자,상,37491.0,3785.0,11.229454696493207,0.0,0.0,139.0,-22.0,-13.664596273291925,46.8,12.1,,13.0,2.4
2020-04-15,고구마,10키로상자,상,38391.0,900.0,2.400576138273186,0.0,0.0,102.0,-37.0,-26.618705035971225,39.8,10.0,,13.2,2.2
2020-04-16,고구마,10키로상자,상,44438.0,6047.0,15.75108749446485,0.0,0.0,99.0,-3.0,-2.941176470588235,39.9,10.6,,16.0,2.3
2020-04-17,고구마,10키로상자,상,41966.0,-2472.0,-5.562806606958008,0.0,0.0,150.0,51.0,51.515151515151516,77.8,0.3,6.5,12.5,2.4
2020-04-18,고구마,10키로상자,상,45448.0,3482.0,8.297192965734165,0.0,0.0,78.0,-72.0,-48.0,67.9,10.4,,13.5,2.6
2020-04-19,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,75.8,0.3,10.3,12.3,2.7
2020-04-20,고구마,10키로상자,상,45590.0,45590.0,4559000.0,0.0,0.0,121.0,43.0,55.12820512820513,73.0,1.3,0.1,10.0,3.3
2020-04-21,고구마,10키로상자,상,44684.0,-906.0,-1.9872779118227681,0.0,0.0,144.0,23.0,19.00826446280992,49.0,10.1,,7.4,4.4
2020-04-22,고구마,10키로상자,상,44644.0,-40.0,-0.08951750067138126,0.0,0.0,104.0,-40.0,-27.77777777777778,46.8,5.3,0.0,6.0,4.0
2020-04-23,고구마,10키로상자,상,44748.0,104.0,0.23295403637666875,0.0,0.0,105.0,1.0,0.9615384615384616,47.8,11.8,,7.9,3.7
2020-04-24,고구마,10키로상자,상,42715.0,-2033.0,-4.543219808706534,0.0,0.0,109.0,4.0,3.8095238095238098,55.6,12.0,,9.9,3.9
2020-04-25,고구마,10키로상자,상,43986.0,1271.0,2.97553552616177,0.0,0.0,75.0,-34.0,-31.19266055045872,54.4,8.5,,13.1,3.9
2020-04-26,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,43.1,12.5,,12.3,3.2
2020-04-27,고구마,10키로상자,상,44848.0,44848.0,4484800.0,0.0,0.0,105.0,30.0,40.0,49.8,9.7,,12.9,2.8
2020-04-28,고구마,10키로상자,상,49020.0,4172.0,9.30253300035676,0.0,0.0,81.0,-24.0,-22.857142857142858,50.0,12.6,,13.9,3.0
2020-04-29,고구마,10키로상자,상,51259.0,2239.0,4.567523459812321,0.0,0.0,83.0,2.0,2.4691358024691357,48.6,12.2,,14.9,2.6
2020-04-30,고구마,10키로상자,상,54577.0,3318.0,6.473009617823211,0.0,0.0,81.0,-2.0,-2.4096385542168677,57.1,8.2,,17.1,2.7
2020-05-01,고구마,10키로상자,상,50371.0,-4206.0,-7.706543049269839,0.0,0.0,71.0,-10.0,-12.345679012345679,73.6,6.1,,20.2,2.7
2020-05-02,고구마,10키로상자,상,52567.0,2196.0,4.359651386710607,0.0,0.0,72.0,1.0,1.4084507042253522,79.6,0.2,0.0,20.3,2.3
2020-05-03,,,,,,,,,,,,68.8,5.9,0.0,21.8,2.0
2020-05-04,고구마,10키로상자,상,50338.0,-2229.0,-4.240302851598912,0.0,0.0,88.0,16.0,22.22222222222222,63.9,10.1,,20.2,2.7
2020-05-05,고구마,10키로상자,상,49313.0,-1025.0,-2.0362350510548692,0.0,0.0,80.0,-8.0,-9.090909090909092,67.9,3.3,,16.0,1.9
2020-05-06,고구마,10키로상자,상,47754.0,-1559.0,-3.161438160322836,0.0,0.0,79.0,-1.0,-1.25,50.0,12.8,,19.4,2.1
2020-05-07,고구마,10키로상자,상,45628.0,-2126.0,-4.451983079951417,0.0,0.0,60.0,-19.0,-24.050632911392405,32.5,8.7,,20.7,2.5
2020-05-08,고구마,10키로상자,상,49362.0,3734.0,8.18357149118962,0.0,0.0,43.0,-17.0,-28.333333333333332,32.8,7.5,2.3,19.9,2.4
2020-05-09,고구마,10키로상자,상,50981.0,1619.0,3.279850897451481,0.0,0.0,27.0,-16.0,-37.2093023255814,94.4,0.0,24.4,14.2,3.6
2020-05-10,,,,,,,,,,,,88.6,0.4,1.3,14.4,2.5
2020-05-11,고구마,10키로상자,상,50961.0,-20.0,-0.03923030148486691,0.0,0.0,100.0,73.0,270.3703703703704,61.0,7.2,3.4,16.5,3.0
2020-05-12,고구마,10키로상자,상,50030.0,-931.0,-1.8268872274876866,0.0,0.0,76.0,-24.0,-24.0,69.4,5.0,0.7,14.3,2.9
2020-05-13,고구마,10키로상자,상,51857.0,1827.0,3.651808914651209,0.0,0.0,75.0,-1.0,-1.3157894736842104,47.3,13.0,,16.1,2.8
2020-05-14,고구마,10키로상자,상,57143.0,5286.0,10.193416510789286,0.0,0.0,58.0,-17.0,-22.666666666666664,35.4,6.6,,19.3,2.0
2020-05-15,고구마,10키로상자,상,52737.0,-4406.0,-7.710480723798191,0.0,0.0,82.0,24.0,41.37931034482759,81.4,0.0,12.0,16.1,3.0
2020-05-16,고구마,10키로상자,상,64311.0,11574.0,21.94664087832072,0.0,0.0,65.0,-17.0,-20.73170731707317,90.3,0.6,2.5,16.7,1.6
2020-05-17,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,80.1,3.9,0.0,19.1,1.7
2020-05-18,고구마,10키로상자,상,55212.0,55212.0,5521200.0,0.0,0.0,102.0,37.0,56.92307692307692,79.4,3.2,29.8,19.1,2.4
2020-05-19,고구마,10키로상자,상,60957.0,5745.0,10.405346663768746,0.0,0.0,73.0,-29.0,-28.431372549019606,73.6,3.0,19.0,13.0,3.2
2020-05-20,고구마,10키로상자,상,54295.0,-6662.0,-10.929015535541447,0.0,0.0,96.0,23.0,31.506849315068493,60.4,4.5,0.0,14.4,1.9
2020-05-21,고구마,10키로상자,상,64296.0,10001.0,18.419743991159407,0.0,0.0,87.0,-9.0,-9.375,56.1,9.4,,17.4,2.1
2020-05-22,고구마,10키로상자,상,54515.0,-9781.0,-15.212454896105513,0.0,0.0,108.0,21.0,24.137931034482758,68.5,0.7,0.0,18.5,1.9
2020-05-23,고구마,10키로상자,상,64100.0,9585.0,17.58231679354306,0.0,0.0,48.0,-60.0,-55.55555555555556,66.1,6.8,0.0,20.1,2.2
2020-05-24,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,84.8,1.1,14.5,17.1,2.9
2020-05-25,고구마,10키로상자,상,57304.0,57304.0,5730400.0,0.0,0.0,87.0,39.0,81.25,81.0,2.5,,16.6,2.1
2020-05-26,고구마,10키로상자,상,57173.0,-131.0,-0.22860533296104985,0.0,0.0,66.0,-21.0,-24.137931034482758,81.9,4.8,1.5,16.2,2.1
2020-05-27,고구마,10키로상자,상,63192.0,6019.0,10.527696640022388,0.0,0.0,76.0,10.0,15.151515151515152,68.5,13.2,,17.4,2.6
2020-05-28,고구마,10키로상자,상,59633.0,-3559.0,-5.632042030636789,0.0,0.0,81.0,5.0,6.578947368421052,62.8,8.4,0.0,18.7,1.9
2020-05-29,고구마,10키로상자,상,63210.0,3577.0,5.99835661462613,0.0,0.0,68.0,-13.0,-16.049382716049383,65.6,12.7,,20.7,2.0
2020-05-30,고구마,10키로상자,상,64754.0,1544.0,2.44265147919633,0.0,0.0,61.0,-7.0,-10.294117647058822,57.3,11.3,,22.6,1.9
2020-05-31,고구마,10키로상자,상,0.0,0.0,0.0,0.0,1.0,,,,63.0,5.0,1.0,21.2,2.3
2020-06-01,고구마,10키로상자,상,64559.0,64559.0,6455900.0,0.0,0.0,63.0,2.0,3.278688524590164,64.3,11.5,0.4,19.7,3.4
2020-06-02,고구마,10키로상자,상,62298.0,-2261.0,-3.502222772967363,0.0,0.0,90.0,27.0,42.857142857142854,71.0,0.2,2.0,17.9,2.2
