DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부
2020-04-09,토마토,5키로상자,상,16905,16905,0.0,0,0
2020-04-10,토마토,5키로상자,상,15586,15586,0.0,0,0
2020-04-11,토마토,5키로상자,상,14286,-1300,-8.34081868343385,0,0
2020-04-12,토마토,5키로상자,상,0,0,0.0,0,1
2020-04-13,토마토,5키로상자,상,14771,14771,0.0,0,0
2020-04-14,토마토,5키로상자,상,14359,-412,-2.789249204522375,0,0
2020-04-15,토마토,5키로상자,상,13052,-1307,-9.102305174455044,0,0
2020-04-16,토마토,5키로상자,상,13177,125,0.957707631014404,0,0
2020-04-17,토마토,5키로상자,상,13056,-121,-0.9182666767853076,0,0
2020-04-18,토마토,5키로상자,상,12462,-594,-4.549632352941177,0,0
2020-04-19,토마토,5키로상자,상,0,0,0.0,0,1
2020-04-20,토마토,5키로상자,상,12872,12872,0.0,0,0
2020-04-21,토마토,5키로상자,상,11757,-1115,-8.662212554381602,0,0
2020-04-22,토마토,5키로상자,상,13851,2094,17.810665986220975,0,0
2020-04-23,토마토,5키로상자,상,13740,-111,-0.8013861815031406,0,0
2020-04-24,토마토,5키로상자,상,11921,-1819,-13.23871906841339,0,0
2020-04-25,토마토,5키로상자,상,11422,-499,-4.18589044543243,0,0
2020-04-26,토마토,5키로상자,상,0,0,0.0,0,1
2020-04-27,토마토,5키로상자,상,12293,12293,0.0,0,0
2020-04-28,토마토,5키로상자,상,11299,-994,-8.085902546164483,0,0
2020-04-29,토마토,5키로상자,상,11922,623,5.513762279847774,0,0
2020-04-30,토마토,5키로상자,상,12857,935,7.842643851702734,0,0
2020-05-01,토마토,5키로상자,상,10389,-2468,-19.19576884187602,0,0
2020-05-02,토마토,5키로상자,상,10370,10370,0.0,0,0
2020-05-03,,,,0,0,0.0,0,1
2020-05-04,토마토,5키로상자,상,9181,9181,0.0,0,0
2020-05-05,토마토,5키로상자,상,7299,7299,0.0,0,0
2020-05-06,토마토,5키로상자,상,7224,7224,0.0,0,0
2020-05-07,토마토,5키로상자,상,7012,7012,0.0,0,0
