DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2025-04-12,토마토,187,0.0,0.0
2025-04-11,토마토,181,-6.0,-3.2085561497326207
2025-04-10,토마토,129,-52.0,-28.7292817679558
2025-04-09,토마토,185,56.0,43.41085271317829
2025-04-08,토마토,161,-24.0,-12.972972972972974
2025-04-07,토마토,227,66.0,40.993788819875775
2025-04-05,토마토,163,-64.0,-28.193832599118945
2025-04-04,토마토,211,48.0,29.447852760736197
2025-04-03,토마토,142,-69.0,-32.70142180094787
2025-04-02,토마토,160,18.0,12.676056338028168
2025-04-01,토마토,174,14.0,8.75
2025-03-31,토마토,252,78.0,44.827586206896555
2025-03-29,토마토,186,-66.0,-26.190476190476193
2025-03-28,토마토,209,23.0,12.365591397849462
2025-03-27,토마토,150,-59.0,-28.22966507177033
2025-03-26,토마토,163,13.0,8.666666666666668
2025-03-25,토마토,161,-2.0,-1.2269938650306749
2025-03-24,토마토,241,80.0,49.68944099378882
2025-03-22,토마토,150,-91.0,-37.75933609958506
2025-03-21,토마토,176,26.0,17.333333333333336
2025-03-20,토마토,133,-43.0,-24.431818181818183
2025-03-19,토마토,143,10.0,7.518796992481203
2025-03-18,토마토,137,-6.0,-4.195804195804196
2025-03-17,토마토,212,75.0,54.74452554744526
2025-03-15,토마토,126,-86.0,-40.56603773584906
2025-03-14,토마토,169,43.0,34.12698412698413
2025-03-13,토마토,123,-46.0,-27.218934911242602
2025-03-12,토마토,128,5.0,4.0650406504065035
2025-03-11,토마토,135,7.0,5.46875
2025-03-10,토마토,171,36.0,26.666666666666668
2025-03-08,토마토,100,-71.0,-41.52046783625731
2025-03-07,토마토,144,44.0,44.0
2025-03-06,토마토,145,1.0,0.6944444444444444
2025-03-05,토마토,1,-144.0,-99.3103448275862
2025-03-04,토마토,144,143.0,14300.0
2025-03-03,토마토,196,52.0,36.11111111111111
2025-03-01,토마토,120,-76.0,-38.775510204081634
2025-02-28,토마토,175,55.0,45.83333333333333
2025-02-27,토마토,108,-67.0,-38.285714285714285
2025-02-26,토마토,120,12.0,11.11111111111111
2025-02-25,토마토,124,4.0,3.3333333333333335
2025-02-24,토마토,162,38.0,30.64516129032258
2025-02-22,토마토,119,-43.0,-26.543209876543212
2025-02-21,토마토,160,41.0,34.45378151260504
2025-02-20,토마토,102,-58.0,-36.25
2025-02-19,토마토,115,13.0,12.745098039215685
2025-02-18,토마토,113,-2.0,-1.7391304347826086
2025-02-17,토마토,155,42.0,37.16814159292036
2025-02-15,토마토,113,-42.0,-27.09677419354839
2025-02-14,토마토,131,18.0,15.929203539823009
2025-02-13,토마토,109,-22.0,-16.793893129770993
2025-02-11,토마토,117,8.0,7.339449541284404
2025-02-10,토마토,129,12.0,10.256410256410255
2025-02-08,토마토,99,-30.0,-23.25581395348837
2025-02-07,토마토,115,16.0,16.161616161616163
2025-02-06,토마토,73,-42.0,-36.52173913043478
2025-02-05,토마토,86,13.0,17.80821917808219
2025-02-04,토마토,90,4.0,4.651162790697675
2025-02-03,토마토,131,41.0,45.55555555555556
2025-02-01,토마토,206,75.0,57.25190839694656
2025-01-28,토마토,77,-129.0,-62.62135922330098
2025-01-27,토마토,167,90.0,116.88311688311688
2025-01-25,토마토,113,-54.0,-32.33532934131736
2025-01-24,토마토,111,-2.0,-1.7699115044247788
2025-01-23,토마토,76,-35.0,-31.53153153153153
2025-01-22,토마토,102,26.0,34.21052631578947
2025-01-21,토마토,88,-14.0,-13.725490196078432
2025-01-20,토마토,131,43.0,48.86363636363637
2025-01-18,토마토,103,-28.0,-21.374045801526716
2025-01-17,토마토,118,15.0,14.563106796116504
2025-01-16,토마토,62,-56.0,-47.45762711864407
2025-01-15,토마토,98,36.0,58.06451612903226
2025-01-14,토마토,100,2.0,2.0408163265306123
2025-01-13,토마토,110,10.0,10.0
2025-01-11,토마토,84,-26.0,-23.636363636363637
2025-01-10,토마토,137,53.0,63.095238095238095
2025-01-09,토마토,47,-90.0,-65.69343065693431
2025-01-08,토마토,76,29.0,61.702127659574465
2025-01-07,토마토,93,17.0,22.36842105263158
2025-01-06,토마토,133,40.0,43.01075268817204
2025-01-04,토마토,123,-10.0,-7.518796992481203
2025-01-03,토마토,167,44.0,35.77235772357724
2024-12-31,토마토,125,-42.0,-25.149700598802394
2024-12-30,토마토,137,12.0,9.6
2024-12-28,토마토,82,-55.0,-40.14598540145985
2024-12-27,토마토,143,61.0,74.39024390243902
2024-12-26,토마토,55,-88.0,-61.53846153846154
2024-12-25,토마토,80,25.0,45.45454545454545
2024-12-24,토마토,93,13.0,16.25
2024-12-23,토마토,102,9.0,9.67741935483871
2024-12-21,토마토,87,-15.0,-14.705882352941178
2024-12-20,토마토,109,22.0,25.287356321839084
2024-12-19,토마토,64,-45.0,-41.284403669724774
2024-12-18,토마토,94,30.0,46.875
2024-12-17,토마토,100,6.0,6.382978723404255
2024-12-16,토마토,116,16.0,16.0
2024-12-14,토마토,89,-27.0,-23.275862068965516
2024-12-13,토마토,107,18.0,20.224719101123593
2024-12-12,토마토,72,-35.0,-32.71028037383177
2024-12-11,토마토,78,6.0,8.333333333333332
2024-12-10,토마토,82,4.0,5.128205128205128
2024-12-09,토마토,109,27.0,32.926829268292686
2024-12-07,토마토,107,-2.0,-1.834862385321101
2024-12-06,토마토,121,14.0,13.084112149532709
2024-12-05,토마토,67,-54.0,-44.62809917355372
2024-12-04,토마토,97,30.0,44.776119402985074
2024-12-03,토마토,70,-27.0,-27.835051546391753
2024-12-02,토마토,80,10.0,14.285714285714285
2024-11-30,토마토,95,15.0,18.75
2024-11-29,토마토,104,9.0,9.473684210526317
2024-11-28,토마토,63,-41.0,-39.42307692307692
2024-11-27,토마토,91,28.0,44.44444444444444
2024-11-26,토마토,81,-10.0,-10.989010989010989
2024-11-25,토마토,119,38.0,46.913580246913575
2024-11-23,토마토,118,-1.0,-0.8403361344537815
2024-11-22,토마토,115,-3.0,-2.5423728813559325
2024-11-21,토마토,75,-40.0,-34.78260869565217
2024-11-20,토마토,76,1.0,1.3333333333333335
2024-11-19,토마토,83,7.0,9.210526315789473
