year,month,day,intake,avg_price,gap,rate
2020,5,9,264,778,0,HIGH
2020,5,9,38,1051,0,Special
2020,5,11,344,774,-4,HIGH
2020,5,11,49,1082,31,Special
2020,5,12,312,793,19,HIGH
2020,5,12,45,1176,94,Special
2020,5,13,391,754,-39,HIGH
2020,5,13,56,1227,51,Special
2020,5,14,326,827,73,HIGH
2020,5,14,47,1371,144,Special
2020,5,15,380,931,104,HIGH
2020,5,15,54,1459,88,Special
2020,5,16,216,982,51,HIGH
2020,5,16,31,1488,29,Special
2020,5,18,396,918,-64,HIGH
2020,5,18,56,1403,-85,Special
2020,5,19,371,860,-58,HIGH
2020,5,19,53,1344,-59,Special
2020,5,20,344,852,-8,HIGH
2020,5,20,49,1343,-1,Special
2020,5,21,378,784,-68,HIGH
2020,5,21,54,1400,57,Special
2020,5,22,408,799,15,HIGH
2020,5,22,58,1430,30,Special
2020,5,23,379,804,5,HIGH
2020,5,23,54,1387,-43,Special
2020,5,25,509,741,-63,HIGH
2020,5,25,73,1250,-137,Special
2020,5,26,369,747,6,HIGH
2020,5,26,53,1288,38,Special
2020,5,27,384,704,-43,HIGH
2020,5,27,55,1224,-64,Special
2020,5,28,396,645,-59,HIGH
2020,5,28,57,1107,-117,Special
2020,5,29,341,577,-68,HIGH
2020,5,29,49,943,-164,Special
2020,5,30,238,580,3,HIGH
2020,5,30,34,817,-126,Special
2020,6,1,329,658,78,HIGH
2020,6,1,47,900,83,Special
2020,6,2,420,666,8,HIGH
2020,6,2,60,1093,193,Special
2020,6,3,332,650,-16,HIGH
2020,6,3,47,891,-202,Special
2020,6,4,374,628,-22,HIGH
2020,6,4,53,938,47,Special
2020,6,5,312,632,4,HIGH
2020,6,5,44,869,-69,Special
2020,6,6,356,606,-26,HIGH
2020,6,6,51,790,-79,Special
2020,6,8,439,553,-53,HIGH
2020,6,8,63,1058,268,Special
2020,6,9,338,547,-6,HIGH
2020,6,9,48,1131,73,Special
2020,6,10,235,580,33,HIGH
2020,6,10,34,756,-375,Special
2020,6,11,294,637,57,HIGH
2020,6,11,42,1047,291,Special
2020,6,12,226,612,-25,HIGH
2020,6,12,32,746,-301,Special
2020,6,13,218,728,116,HIGH
2020,6,13,31,1142,396,Special
2020,6,15,341,707,-21,HIGH
2020,6,15,49,854,-288,Special
2020,6,16,354,693,-14,HIGH
2020,6,16,51,1062,208,Special
2020,6,17,283,730,37,HIGH
2020,6,17,40,1060,-2,Special
2020,6,18,234,719,-11,HIGH
2020,6,18,34,994,-66,Special
2020,6,19,287,733,14,HIGH
2020,6,19,41,1076,82,Special
2020,6,20,265,729,-4,HIGH
2020,6,20,38,966,-110,Special
2020,6,22,296,742,13,HIGH
2020,6,22,42,1062,96,Special
2020,6,23,239,739,-3,HIGH
2020,6,23,34,908,-154,Special
2020,6,24,370,789,50,HIGH
2020,6,24,53,1154,246,Special
2020,6,25,205,865,76,HIGH
2020,6,25,29,1070,-84,Special
2020,6,26,269,825,-40,HIGH
2020,6,26,38,922,-148,Special
2020,6,27,318,815,-10,HIGH
2020,6,27,45,1203,281,Special
2020,6,29,403,714,-101,HIGH
2020,6,29,58,841,-362,Special
2020,6,30,331,703,-11,HIGH
2020,6,30,47,1296,455,Special
2020,7,1,168,646,-57,HIGH
2020,7,1,24,778,-518,Special
2020,7,2,208,636,-10,HIGH
2020,7,2,30,745,-33,Special
2020,7,3,261,651,15,HIGH
2020,7,3,37,761,16,Special
2020,7,4,281,688,37,HIGH
2020,7,4,40,1253,492,Special
2020,7,6,239,685,-3,HIGH
2020,7,6,34,781,-472,Special
2020,7,7,298,695,10,HIGH
2020,7,7,43,1084,303,Special
2020,7,8,227,654,-41,HIGH
2020,7,8,32,797,-287,Special
2020,7,9,209,629,-25,HIGH
2020,7,9,30,777,-20,Special
2020,7,10,238,695,66,HIGH
2020,7,10,34,948,171,Special
2020,7,11,182,694,-1,HIGH
2020,7,11,26,818,-130,Special
2020,7,13,218,727,33,HIGH
2020,7,13,31,875,57,Special
2020,7,14,149,780,53,HIGH
2020,7,14,21,919,44,Special
2020,7,15,220,863,83,HIGH
2020,7,15,31,1388,469,Special
2020,7,16,220,821,-42,HIGH
2020,7,16,32,991,-397,Special
2020,7,17,231,817,-4,HIGH
2020,7,17,33,992,1,Special
2020,7,18,234,808,-9,HIGH
2020,7,18,34,964,-28,Special
2020,7,20,372,865,57,HIGH
2020,7,20,53,1338,374,Special
2020,7,21,232,782,-83,HIGH
2020,7,21,33,931,-407,Special
2020,7,22,254,782,0,HIGH
2020,7,22,36,1052,121,Special
2020,7,23,190,769,-13,HIGH
2020,7,23,27,892,-160,Special
2020,7,24,223,745,-24,HIGH
2020,7,24,32,855,-37,Special
2020,7,25,234,866,121,HIGH
2020,7,25,33,1459,604,Special
2020,7,27,157,949,83,HIGH
2020,7,27,22,1079,-380,Special
2020,7,28,315,946,-3,HIGH
2020,7,28,45,1028,-51,Special
2020,7,29,229,991,45,HIGH
2020,7,29,33,1106,78,Special
2020,7,30,270,1081,90,HIGH
2020,7,30,39,1225,119,Special
2020,7,31,266,1087,6,HIGH
2020,7,31,38,1202,-23,Special
2020,8,3,349,1009,-78,HIGH
2020,8,3,50,1131,-71,Special
2020,8,4,210,1004,-5,HIGH
2020,8,4,30,1133,2,Special
2020,8,5,261,948,-56,HIGH
2020,8,5,37,1080,-53,Special
2020,8,6,234,922,-26,HIGH
2020,8,6,34,1042,-38,Special
2020,8,7,158,964,42,HIGH
2020,8,7,22,1094,52,Special
2020,8,8,212,965,1,HIGH
2020,8,8,30,1117,23,Special
2020,8,10,308,1033,68,HIGH
2020,8,10,44,1533,416,Special
2020,8,11,280,1012,-21,HIGH
2020,8,11,40,1218,-315,Special
2020,8,12,271,1008,-4,HIGH
2020,8,12,39,1198,-20,Special
2020,8,13,231,1017,9,HIGH
2020,8,13,33,1186,-12,Special
2020,8,14,289,1034,17,HIGH
2020,8,14,41,1489,303,Special
2020,8,15,211,1009,-25,HIGH
2020,8,15,30,1140,-349,Special
2020,8,17,235,999,-10,HIGH
2020,8,17,34,1166,26,Special
2020,8,18,194,1015,16,HIGH
2020,8,18,28,1161,-5,Special
2020,8,19,298,997,-18,HIGH
2020,8,19,43,1474,313,Special
2020,8,20,254,928,-69,HIGH
2020,8,20,36,1067,-407,Special
2020,8,21,212,930,2,HIGH
2020,8,21,30,1082,15,Special
2020,8,22,206,941,11,HIGH
2020,8,22,29,1099,17,Special
2020,8,24,326,1027,86,HIGH
2020,8,24,47,1569,470,Special
2020,8,25,224,976,-51,HIGH
2020,8,25,32,1164,-405,Special
2020,8,26,247,1005,29,HIGH
2020,8,26,35,1242,78,Special
2020,8,27,160,1055,50,HIGH
2020,8,27,23,1329,87,Special
2020,8,28,205,1061,6,HIGH
2020,8,28,29,1321,-8,Special
2020,8,29,349,1058,-3,HIGH
2020,8,29,50,1601,280,Special
2020,8,31,272,1031,-27,HIGH
2020,8,31,39,1320,-281,Special
2020,9,1,209,1063,32,HIGH
2020,9,1,30,1384,64,Special
2020,9,2,268,1102,39,HIGH
2020,9,2,38,1461,77,Special
2020,9,3,254,1104,2,HIGH
2020,9,3,36,1496,35,Special
