year,month,day,intake,avg_price,gap,rate
2025,5,19,363,754,0,HIGH
2025,5,19,52,981,0,Special
2025,5,20,323,728,-26,HIGH
2025,5,20,46,939,-42,Special
2025,5,21,369,642,-86,HIGH
2025,5,21,53,871,-68,Special
2025,5,22,313,613,-29,HIGH
2025,5,22,45,782,-89,Special
2025,5,23,326,618,5,HIGH
2025,5,23,46,768,-14,Special
2025,5,24,301,664,46,HIGH
2025,5,24,43,784,16,Special
2025,5,26,419,556,-108,HIGH
2025,5,26,60,651,-133,Special
2025,5,27,284,632,76,HIGH
2025,5,27,40,743,92,Special
2025,5,28,329,647,15,HIGH
2025,5,28,47,761,18,Special
2025,5,29,329,598,-49,HIGH
2025,5,29,47,700,-61,Special
2025,5,30,260,635,37,HIGH
2025,5,30,37,759,59,Special
2025,5,31,269,683,48,HIGH
2025,5,31,38,820,61,Special
