year,month,day,intake,avg_price,gap,rate
2016,1,4,51,22273,0,HIGH
2016,1,4,7,29884,0,Special
2016,1,5,54,24229,1956,HIGH
2016,1,5,8,33534,3650,Special
2016,1,6,56,23631,-598,HIGH
2016,1,6,8,33060,-474,Special
2016,1,7,56,24713,1082,HIGH
2016,1,7,8,35172,2112,Special
2016,1,8,57,22448,-2265,HIGH
2016,1,8,8,31368,-3804,Special
2016,1,9,28,20196,-2252,HIGH
2016,1,9,4,25742,-5626,Special
2016,1,11,66,24143,3947,HIGH
2016,1,11,9,36225,10483,Special
2016,1,12,56,24795,652,HIGH
2016,1,12,8,36770,545,Special
2016,1,13,48,23169,-1626,HIGH
2016,1,13,7,32198,-4572,Special
2016,1,14,52,23938,769,HIGH
2016,1,14,7,35500,3302,Special
2016,1,15,49,22510,-1428,HIGH
2016,1,15,7,31233,-4267,Special
2016,1,16,37,24044,1534,HIGH
2016,1,16,5,36951,5718,Special
2016,1,18,61,21921,-2123,HIGH
2016,1,18,9,29109,-7842,Special
2016,1,19,52,23201,1280,HIGH
2016,1,19,7,33624,4515,Special
2016,1,20,40,21368,-1833,HIGH
2016,1,20,6,29045,-4579,Special
2016,1,21,54,22276,908,HIGH
2016,1,21,8,33001,3956,Special
2016,1,22,38,21279,-997,HIGH
2016,1,22,5,28169,-4832,Special
2016,1,23,24,23579,2300,HIGH
2016,1,23,4,34775,6606,Special
2016,1,25,30,26953,3374,HIGH
2016,1,25,4,41951,7176,Special
2016,1,26,45,24247,-2706,HIGH
2016,1,26,6,35590,-6361,Special
2016,1,27,56,27166,2919,HIGH
2016,1,27,8,38476,2886,Special
2016,1,28,56,26754,-412,HIGH
2016,1,28,8,40389,1913,Special
2016,1,29,75,24972,-1782,HIGH
2016,1,29,11,36772,-3617,Special
2016,1,30,54,25078,106,HIGH
2016,1,30,8,38356,1584,Special
2016,2,1,104,23044,-2034,HIGH
2016,2,1,15,33605,-4751,Special
2016,2,2,79,22088,-956,HIGH
2016,2,2,11,35558,1953,Special
2016,2,3,64,20469,-1619,HIGH
2016,2,3,9,30470,-5088,Special
2016,2,4,29,23593,3124,HIGH
2016,2,4,4,37448,6978,Special
2016,2,5,14,20185,-3408,HIGH
2016,2,5,2,31551,-5897,Special
2016,2,6,1,20185,0,HIGH
2016,2,6,0,31551,0,Special
2016,2,11,39,22577,2392,HIGH
2016,2,11,6,26989,-4562,Special
2016,2,12,44,23906,1329,HIGH
2016,2,12,6,35839,8850,Special
2016,2,13,18,24312,406,HIGH
2016,2,13,3,36914,1075,Special
2016,2,15,72,22524,-1788,HIGH
2016,2,15,10,33287,-3627,Special
2016,2,16,47,25036,2512,HIGH
2016,2,16,7,40436,7149,Special
2016,2,17,42,21677,-3359,HIGH
2016,2,17,6,28699,-11737,Special
2016,2,18,42,25747,4070,HIGH
2016,2,18,6,42438,13739,Special
2016,2,19,36,20949,-4798,HIGH
2016,2,19,5,33759,-8679,Special
2016,2,20,18,30946,9997,HIGH
2016,2,20,3,43750,9991,Special
2016,2,22,42,27191,-3755,HIGH
2016,2,22,6,44510,760,Special
2016,2,23,44,27362,171,HIGH
2016,2,23,6,42907,-1603,Special
2016,2,24,41,23287,-4075,HIGH
2016,2,24,6,30600,-12307,Special
2016,2,25,50,25015,1728,HIGH
2016,2,25,7,38536,7936,Special
2016,2,26,50,23206,-1809,HIGH
2016,2,26,7,31231,-7305,Special
2016,2,27,35,28398,5192,HIGH
2016,2,27,5,38598,7367,Special
2016,2,29,46,21645,-6753,HIGH
2016,2,29,7,28216,-10382,Special
2016,3,1,50,21998,353,HIGH
2016,3,1,7,30840,2624,Special
2016,3,2,40,23666,1668,HIGH
2016,3,2,6,37097,6257,Special
2016,3,3,46,25434,1768,HIGH
2016,3,3,6,39736,2639,Special
2016,3,4,43,21763,-3671,HIGH
2016,3,4,6,27112,-12624,Special
2016,3,5,30,24546,2783,HIGH
2016,3,5,4,37082,9970,Special
2016,3,7,66,23626,-920,HIGH
2016,3,7,9,35028,-2054,Special
2016,3,8,68,23624,-2,HIGH
2016,3,8,10,36248,1220,Special
2016,3,9,56,21567,-2057,HIGH
2016,3,9,8,30679,-5569,Special
2016,3,10,70,21369,-198,HIGH
2016,3,10,10,32662,1983,Special
2016,3,11,54,21527,158,HIGH
2016,3,11,8,30367,-2295,Special
2016,3,12,35,23464,1937,HIGH
2016,3,12,5,36578,6211,Special
2016,3,14,57,21352,-2112,HIGH
2016,3,14,8,28103,-8475,Special
2016,3,15,49,22176,824,HIGH
2016,3,15,7,35765,7662,Special
2016,3,16,41,20915,-1261,HIGH
2016,3,16,6,24081,-11684,Special
2016,3,17,52,21744,829,HIGH
2016,3,17,7,33580,9499,Special
2016,3,18,39,23880,2136,HIGH
2016,3,18,6,32959,-621,Special
2016,3,19,29,22769,-1111,HIGH
2016,3,19,4,38795,5836,Special
2016,3,21,61,26888,4119,HIGH
2016,3,21,9,44630,5835,Special
2016,3,22,60,23731,-3157,HIGH
2016,3,22,9,38813,-5817,Special
2016,3,23,59,21272,-2459,HIGH
2016,3,23,8,28343,-10470,Special
2016,3,24,51,21911,639,HIGH
2016,3,24,7,30195,1852,Special
2016,3,25,40,21149,-762,HIGH
2016,3,25,6,29382,-813,Special
2016,3,26,24,21628,479,HIGH
2016,3,26,3,31131,1749,Special
2016,3,28,46,22010,382,HIGH
2016,3,28,7,26766,-4365,Special
2016,3,29,46,22711,701,HIGH
2016,3,29,7,33315,6549,Special
2016,3,30,40,21376,-1335,HIGH
2016,3,30,6,28325,-4990,Special
2016,3,31,36,24162,2786,HIGH
2016,3,31,5,32988,4663,Special
2016,4,1,39,23131,-1031,HIGH
2016,4,1,6,40345,7357,Special
2016,4,2,27,26561,3430,HIGH
2016,4,2,4,35453,-4892,Special
2016,4,4,51,27293,732,HIGH
2016,4,4,7,44119,8666,Special
2016,4,5,52,25143,-2150,HIGH
2016,4,5,7,35171,-8948,Special
2016,4,6,39,25367,224,HIGH
2016,4,6,6,40048,4877,Special
2016,4,7,44,23349,-2018,HIGH
2016,4,7,6,35235,-4813,Special
2016,4,8,34,23701,352,HIGH
2016,4,8,5,37843,2608,Special
2016,4,9,25,22390,-1311,HIGH
2016,4,9,4,28153,-9690,Special
2016,4,11,41,21850,-540,HIGH
2016,4,11,6,27514,-639,Special
2016,4,12,43,23629,1779,HIGH
2016,4,12,6,33734,6220,Special
2016,4,13,37,24901,1272,HIGH
2016,4,13,5,39045,5311,Special
2016,4,14,35,22921,-1980,HIGH
2016,4,14,5,30782,-8263,Special
2016,4,15,41,20597,-2324,HIGH
2016,4,15,6,30570,-212,Special
2016,4,16,23,21992,1395,HIGH
2016,4,16,3,30840,270,Special
2016,4,18,45,21314,-678,HIGH
2016,4,18,6,27043,-3797,Special
2016,4,19,52,22297,983,HIGH
2016,4,19,8,32238,5195,Special
2016,4,20,35,22001,-296,HIGH
2016,4,20,5,37410,5172,Special
2016,4,21,31,23203,1202,HIGH
2016,4,21,4,31018,-6392,Special
2016,4,22,38,25135,1932,HIGH
2016,4,22,5,38171,7153,Special
2016,4,23,12,27836,2701,HIGH
2016,4,23,2,37491,-680,Special
2016,4,25,35,25036,-2800,HIGH
2016,4,25,5,30945,-6546,Special
2016,4,26,18,28077,3041,HIGH
2016,4,26,2,38436,7491,Special
2016,4,27,26,25242,-2835,HIGH
2016,4,27,4,30857,-7579,Special
2016,4,28,31,27887,2645,HIGH
2016,4,28,4,38512,7655,Special
2016,4,29,38,25320,-2567,HIGH
2016,4,29,5,29982,-8530,Special
2016,4,30,19,26608,1288,HIGH
2016,4,30,3,39417,9435,Special
2016,5,2,39,26742,134,HIGH
2016,5,2,6,40403,986,Special
2016,5,3,36,24104,-2638,HIGH
2016,5,3,5,31494,-8909,Special
2016,5,4,37,24950,846,HIGH
2016,5,4,5,36855,5361,Special
2016,5,5,41,24671,-279,HIGH
2016,5,5,6,33842,-3013,Special
2016,5,6,31,21898,-2773,HIGH
2016,5,6,4,26428,-7414,Special
2016,5,7,14,24296,2398,HIGH
2016,5,7,2,31906,5478,Special
2016,5,9,27,23167,-1129,HIGH
2016,5,9,4,27070,-4836,Special
2016,5,10,22,25759,2592,HIGH
2016,5,10,3,33431,6361,Special
2016,5,11,33,26243,484,HIGH
2016,5,11,5,35420,1989,Special
2016,5,12,29,26581,338,HIGH
2016,5,12,4,36172,752,Special
2016,5,13,33,25394,-1187,HIGH
2016,5,13,5,30930,-5242,Special
2016,5,14,17,24398,-996,HIGH
2016,5,14,2,31612,682,Special
2016,5,16,40,26749,2351,HIGH
2016,5,16,6,33854,2242,Special
2016,5,17,45,24915,-1834,HIGH
2016,5,17,6,33544,-310,Special
2016,5,18,36,26498,1583,HIGH
2016,5,18,5,35612,2068,Special
2016,5,19,34,27031,533,HIGH
2016,5,19,5,39379,3767,Special
2016,5,20,19,23985,-3046,HIGH
2016,5,20,3,28235,-11144,Special
2016,5,21,21,25593,1608,HIGH
2016,5,21,3,35775,7540,Special
2016,5,23,43,21446,-4147,HIGH
2016,5,23,6,29128,-6647,Special
2016,5,24,16,24663,3217,HIGH
2016,5,24,2,27134,-1994,Special
2016,5,25,19,28239,3576,HIGH
2016,5,25,3,40546,13412,Special
2016,5,26,44,23970,-4269,HIGH
2016,5,26,6,32100,-8446,Special
2016,5,27,32,25838,1868,HIGH
2016,5,27,5,35889,3789,Special
2016,5,28,16,20392,-5446,HIGH
2016,5,28,2,24449,-11440,Special
2016,5,30,32,26365,5973,HIGH
2016,5,30,5,32738,8289,Special
2016,5,31,24,25616,-749,HIGH
2016,5,31,3,32063,-675,Special
2016,6,1,30,23636,-1980,HIGH
