iter	RMSE
0	5705.860894
1	5261.396188
2	4883.607767
3	4534.769621
4	4219.105305
5	3931.946106
6	3680.365259
7	3440.143756
8	3228.472593
9	3042.904918
10	2902.094077
11	2756.620409
12	2630.171162
13	2511.556306
14	2417.083273
15	2335.21202
16	2253.693474
17	2177.6651
18	2113.666054
19	2058.635498
20	2002.881008
21	1951.901732
22	1907.625082
23	1872.968844
24	1840.801132
25	1810.467062
26	1782.491079
27	1749.824152
28	1725.875697
29	1705.581104
30	1686.252847
31	1661.756713
32	1645.102728
33	1626.991164
34	1611.51024
35	1596.146102
36	1580.376923
37	1567.809972
38	1561.281311
39	1547.558088
40	1534.382319
41	1524.269734
42	1511.294076
43	1497.008776
44	1486.188734
45	1477.153491
46	1469.944767
47	1460.647039
48	1453.409209
49	1447.989724
50	1442.498747
51	1436.346546
52	1427.448445
53	1419.110486
54	1413.749643
55	1404.26685
56	1398.466737
57	1387.769517
58	1382.124386
59	1377.768707
60	1370.450155
61	1365.147604
62	1357.668493
63	1355.166081
64	1345.981426
65	1336.473638
66	1327.935672
67	1322.183368
68	1314.836749
69	1310.713491
70	1307.862607
71	1303.358173
72	1296.534986
73	1290.832132
74	1284.249327
75	1280.03961
76	1275.285234
77	1267.772263
78	1264.271054
79	1261.019858
80	1259.18281
81	1255.70711
82	1252.501009
83	1248.244687
84	1244.412978
85	1241.502049
86	1237.673254
87	1232.283461
88	1229.15095
89	1226.008208
90	1222.225664
91	1219.82519
92	1217.115613
93	1215.45118
94	1210.165218
95	1206.875341
96	1204.349839
97	1201.335126
98	1198.104232
99	1196.219608
100	1193.81648
101	1190.6746
102	1184.981051
103	1182.425607
104	1179.775659
105	1175.938856
106	1171.709059
107	1167.482846
108	1166.569375
109	1161.154275
110	1157.699859
111	1156.379771
112	1151.248118
113	1150.217131
114	1146.593128
115	1143.466981
116	1139.124138
117	1135.598629
118	1130.431794
119	1124.511172
120	1120.803289
121	1119.327833
122	1116.451687
123	1112.786735
124	1110.224164
125	1107.45677
126	1105.688401
127	1103.511554
128	1099.728452
129	1096.440664
130	1094.582508
131	1091.294872
132	1088.457058
133	1084.539496
134	1082.406134
135	1078.819387
136	1075.81159
137	1073.369802
138	1071.62428
139	1070.330204
140	1066.668278
141	1064.695319
142	1060.666139
143	1057.32868
144	1055.420701
145	1052.72707
146	1051.094755
147	1048.739432
148	1046.975495
149	1044.111204
150	1040.416297
151	1037.724634
152	1035.266832
153	1033.685379
154	1031.176676
155	1026.873434
156	1023.923676
157	1022.514645
158	1020.104873
159	1015.931752
160	1013.324355
161	1011.597409
162	1008.646659
163	1006.971332
164	1004.433954
165	1002.559446
166	999.8777368
167	996.8426319
168	993.8775118
169	991.8728176
170	989.7197037
171	988.1661452
172	986.9623804
173	984.8585368
174	982.5975481
175	980.346059
176	978.3011431
177	975.1769609
178	972.943693
179	971.3719639
180	969.3741937
181	967.3399759
182	966.1691012
183	963.9861602
184	961.9656975
185	958.9958876
186	957.1638686
187	956.0817703
188	954.3444686
189	952.8010171
190	951.6621983
191	949.7880926
192	948.0332523
193	946.0430674
194	942.9170222
195	940.7005201
196	939.0771999
197	937.5583575
198	935.3788314
199	933.8438566
