iter	Passed	Remaining
0	2	571
1	5	544
2	8	545
3	10	522
4	12	503
5	15	508
6	18	508
7	20	493
8	23	493
9	25	480
10	26	454
11	28	450
12	31	448
13	33	444
14	35	440
15	38	438
16	40	438
17	42	433
18	44	426
19	47	423
20	49	420
21	51	415
22	53	413
23	56	412
24	58	408
25	60	404
26	63	403
27	65	399
28	66	394
29	69	393
30	71	390
31	74	390
32	76	385
33	78	383
34	80	380
35	82	377
36	84	373
37	87	371
38	89	368
39	91	366
40	94	364
41	96	361
42	98	360
43	100	357
44	103	355
45	105	353
46	107	351
47	110	349
48	112	347
49	115	345
50	117	341
51	119	339
52	121	336
53	123	333
54	125	331
55	128	330
56	130	328
57	133	325
58	135	323
59	137	320
60	139	317
61	141	315
62	144	313
63	145	309
64	147	306
65	149	303
66	151	301
67	154	299
68	156	297
69	158	294
70	160	292
71	162	289
72	164	286
73	167	284
74	169	281
75	171	279
76	173	277
77	176	275
78	178	272
79	180	270
80	183	269
81	185	266
82	187	263
83	189	261
84	191	258
85	193	256
86	195	254
87	198	252
88	200	249
89	202	247
90	204	245
91	207	243
92	209	241
93	211	238
94	213	236
95	216	234
96	218	231
97	220	229
98	222	226
99	224	224
100	226	222
101	229	220
102	231	217
103	233	215
104	235	213
105	237	210
106	240	208
107	242	206
108	244	203
109	246	201
110	248	199
111	250	196
112	252	194
113	255	192
114	257	190
115	259	187
116	261	185
117	263	183
118	265	180
119	267	178
120	269	176
121	271	173
122	274	171
123	276	169
124	278	167
125	280	164
126	282	162
127	284	160
128	286	157
129	288	155
130	290	153
131	293	150
132	295	148
133	297	146
134	299	144
135	301	142
136	303	139
137	306	137
138	308	135
139	310	133
140	312	130
141	314	128
142	316	126
143	319	124
144	321	122
145	324	119
146	326	117
147	328	115
148	330	113
149	332	110
150	335	108
151	338	106
152	340	104
153	342	102
154	344	99
155	346	97
156	348	95
157	351	93
158	353	91
159	355	88
160	357	86
161	359	84
162	361	82
163	364	79
164	366	77
165	369	75
166	371	73
167	374	71
168	377	69
169	379	66
170	381	64
171	383	62
172	385	60
173	387	57
174	389	55
175	392	53
176	394	51
177	396	49
178	399	46
179	401	44
180	403	42
181	405	40
182	408	37
183	410	35
184	412	33
185	414	31
186	417	29
187	419	26
188	422	24
189	424	22
190	426	20
191	429	17
192	431	15
193	434	13
194	436	11
195	438	8
196	440	6
197	442	4
198	444	2
199	446	0
