year,month,day,avg_price,rate
2025,6,3,6176.0,HIGH
2025,6,4,5882.0,HIGH
2025,6,5,3917.0,HIGH
2025,6,6,3930.0,HIGH
2025,6,7,3802.0,HIGH
2025,6,8,3555.0,HIGH
2025,6,9,3540.0,HIGH
2025,6,10,3802.0,HIGH
2025,6,11,4001.0,HIGH
2025,6,12,2938.0,HIGH
2025,6,13,3669.0,HIGH
2025,6,14,3864.0,HIGH
2025,6,15,3289.0,HIGH
2025,6,16,3512.0,HIGH
2025,6,17,3316.0,HIGH
2025,6,18,3498.0,HIGH
2025,6,19,3783.0,HIGH
2025,6,20,2491.0,HIGH
2025,6,21,2982.0,HIGH
2025,6,22,2923.0,HIGH
2025,6,23,2570.0,HIGH
2025,6,24,2410.0,HIGH
2025,6,25,2579.0,HIGH
2025,6,26,2283.0,HIGH
2025,6,27,2742.0,HIGH
2025,6,28,2517.0,HIGH
2025,6,29,2862.0,HIGH
2025,6,30,2971.0,HIGH
2025,7,1,2572.0,HIGH
2025,6,3,8988.0,SPECIAL
2025,6,4,9351.0,SPECIAL
2025,6,5,6292.0,SPECIAL
2025,6,6,6499.0,SPECIAL
2025,6,7,7415.0,SPECIAL
2025,6,8,7778.0,SPECIAL
2025,6,9,9652.0,SPECIAL
2025,6,10,7908.0,SPECIAL
2025,6,11,9110.0,SPECIAL
2025,6,12,12720.0,SPECIAL
2025,6,13,11616.0,SPECIAL
2025,6,14,8091.0,SPECIAL
2025,6,15,8749.0,SPECIAL
2025,6,16,9348.0,SPECIAL
2025,6,17,6844.0,SPECIAL
2025,6,18,9524.0,SPECIAL
2025,6,19,10317.0,SPECIAL
2025,6,20,9195.0,SPECIAL
2025,6,21,6453.0,SPECIAL
2025,6,22,7742.0,SPECIAL
2025,6,23,8587.0,SPECIAL
2025,6,24,10325.0,SPECIAL
2025,6,25,12028.0,SPECIAL
2025,6,26,13023.0,SPECIAL
2025,6,27,13623.0,SPECIAL
2025,6,28,15565.0,SPECIAL
2025,6,29,15993.0,SPECIAL
2025,6,30,18052.0,SPECIAL
2025,7,1,14196.0,SPECIAL
