year,month,day,avg_price,gap
1996,1,3,1570,0
1996,1,4,1467,-103
1996,1,5,1450,-17
1996,1,8,1454,4
1996,1,9,1446,-8
1996,1,10,1488,42
1996,1,11,1517,29
1996,1,12,1521,4
1996,1,15,1525,4
1996,1,16,1517,-8
1996,1,17,1521,4
1996,1,18,1533,12
1996,1,19,1538,5
1996,1,22,1521,-17
1996,1,23,1513,-8
1996,1,24,1513,0
1996,1,25,1525,12
1996,1,26,1521,-4
1996,1,29,1483,-38
1996,1,30,1479,-4
1996,1,31,1488,9
1996,2,1,1508,20
1996,2,2,1513,5
1996,2,5,1558,45
1996,2,6,1563,5
1996,2,7,1567,4
1996,2,8,1579,12
1996,2,9,1583,4
1996,2,12,1617,34
1996,2,13,1621,4
1996,2,14,1588,-33
1996,2,15,1600,12
1996,2,16,1571,-29
1996,2,21,1579,8
1996,2,22,1600,21
1996,2,23,1708,108
1996,2,26,1708,0
1996,2,27,1725,17
1996,2,28,1767,42
1996,2,29,1771,4
1996,3,4,1779,8
1996,3,5,1813,34
1996,3,6,1821,8
1996,3,7,1821,0
1996,3,8,1821,0
1996,3,11,1938,117
1996,3,12,1954,16
1996,3,13,1992,38
1996,3,14,2000,8
1996,3,15,2008,8
1996,3,18,2133,125
1996,3,19,2238,105
1996,3,20,2288,50
1996,3,21,2325,37
1996,3,22,2491,166
1996,3,25,2539,48
1996,3,26,2569,30
1996,3,27,2613,44
1996,3,28,2692,79
1996,3,29,2743,51
1996,4,1,2730,-13
1996,4,2,2723,-7
1996,4,3,2723,0
1996,4,4,2723,0
1996,4,6,2730,7
1996,4,8,2755,25
1996,4,9,2759,4
1996,4,10,2781,22
1996,4,12,2763,-18
1996,4,15,2843,80
1996,4,16,2855,12
1996,4,17,2895,40
1996,4,18,3100,205
1996,4,19,3117,17
1996,4,22,3178,61
1996,4,23,3228,50
1996,4,24,3229,1
1996,4,25,3288,59
1996,4,26,3306,18
1996,4,29,3325,19
1996,4,30,3393,68
1996,5,2,3286,-107
1996,5,3,3221,-65
1996,5,6,3023,-198
1996,5,7,2892,-131
1996,5,8,2817,-75
1996,5,9,2750,-67
1996,5,10,2750,0
1996,5,13,2633,-117
1996,5,14,2575,-58
1996,5,15,2508,-67
1996,5,16,2442,-66
1996,5,17,2350,-92
1996,5,20,2317,-33
1996,5,21,2292,-25
1996,5,22,2292,0
1996,5,23,2250,-42
1996,5,27,2142,-108
1996,5,28,1992,-150
1996,5,29,1942,-50
1996,5,30,1904,-38
1996,5,31,1838,-66
1996,6,3,1733,-105
1996,6,4,1625,-108
1996,6,5,1563,-62
1996,6,7,1483,-80
1996,6,10,1442,-41
1996,6,11,1421,-21
1996,6,12,1417,-4
1996,6,13,1413,-4
1996,6,14,1433,20
1996,6,17,1421,-12
1996,6,18,1538,117
1996,6,19,1538,0
1996,6,20,1538,0
1996,6,21,1683,145
1996,6,24,1763,80
1996,6,25,1838,75
1996,6,26,1896,58
1996,6,27,1913,17
1996,6,28,1858,-55
1996,7,1,2025,167
1996,7,2,1939,-86
1996,7,3,1906,-33
1996,7,4,1924,18
1996,7,5,1933,9
1996,7,6,1953,20
1996,7,8,1944,-9
1996,7,9,1929,-15
1996,7,10,1912,-17
1996,7,11,1859,-53
1996,7,12,1846,-13
1996,7,15,1865,19
1996,7,16,1842,-23
1996,7,18,1838,-4
1996,7,19,1754,-84
1996,7,22,1692,-62
1996,7,23,1613,-79
1996,7,24,1588,-25
1996,7,25,1575,-13
1996,7,26,1550,-25
1996,7,29,1625,75
1996,7,30,1625,0
1996,7,31,1617,-8
1996,8,1,1596,-21
1996,8,2,1546,-50
1996,8,5,1613,67
1996,8,6,1746,133
1996,8,7,1758,12
1996,8,8,1804,46
1996,8,9,1813,9
1996,8,12,1846,33
1996,8,13,1821,-25
1996,8,14,1833,12
1996,8,16,1971,138
1996,8,19,1963,-8
1996,8,20,1979,16
1996,8,21,1971,-8
1996,8,22,1971,0
1996,8,23,1954,-17
1996,8,26,1950,-4
1996,8,27,1963,13
1996,8,28,1996,33
1996,8,29,2067,71
1996,8,30,2067,0
1996,9,2,2008,-59
1996,9,3,1975,-33
1996,9,4,1933,-42
1996,9,5,1883,-50
1996,9,6,1892,9
1996,9,9,1892,0
1996,9,10,1875,-17
1996,9,11,1821,-54
1996,9,12,1729,-92
1996,9,13,1667,-62
1996,9,16,1604,-63
1996,9,17,1567,-37
1996,9,18,1542,-25
1996,9,19,1483,-59
1996,9,20,1458,-25
1996,9,23,1335,-123
1996,9,24,1310,-25
1996,9,25,1298,-12
1996,9,30,1299,1
1996,10,1,1276,-23
1996,10,2,1197,-79
1996,10,4,1122,-75
1996,10,7,1080,-42
1996,10,8,1072,-8
1996,10,9,1058,-14
1996,10,10,1042,-16
1996,10,11,983,-59
1996,10,14,946,-37
1996,10,15,931,-15
1996,10,16,904,-27
1996,10,17,871,-33
1996,10,18,848,-23
1996,10,21,863,15
1996,10,22,848,-15
1996,10,23,839,-9
1996,10,24,841,2
1996,10,25,841,0
1996,10,28,857,16
1996,10,29,857,0
1996,10,30,848,-9
1996,10,31,839,-9
1996,11,1,843,4
1996,11,4,841,-2
1996,11,5,852,11
1996,11,6,864,12
1996,11,7,856,-8
1996,11,8,866,10
1996,11,9,851,-15
1996,11,11,849,-2
1996,11,12,842,-7
1996,11,13,854,12
1996,11,14,826,-28
1996,11,15,841,15
1996,11,16,834,-7
1996,11,18,879,45
1996,11,19,879,0
1996,11,20,883,4
1996,11,21,859,-24
1996,11,22,859,0
1996,11,23,859,0
1996,11,25,863,4
1996,11,26,850,-13
1996,11,27,882,32
1996,11,28,890,8
1996,11,29,898,8
1996,11,30,908,10
1996,12,2,996,88
1996,12,3,1214,218
1996,12,4,1342,128
1996,12,5,1342,0
1996,12,6,1342,0
1996,12,7,1354,12
1996,12,9,1404,50
1996,12,10,1363,-41
1996,12,11,1354,-9
1996,12,12,1321,-33
1996,12,13,1342,21
1996,12,14,1283,-59
1996,12,16,1196,-87
1996,12,17,1188,-8
1996,12,18,1163,-25
1996,12,19,1163,0
1996,12,20,1129,-34
1996,12,21,1108,-21
1996,12,23,1092,-16
1996,12,24,1092,0
1996,12,26,1113,21
