year,month,day,avg_price,gap
1996,1,3,532,0
1996,1,4,528,-4
1996,1,5,528,0
1996,1,8,531,3
1996,1,9,552,21
1996,1,10,578,26
1996,1,11,579,1
1996,1,12,589,10
1996,1,15,594,5
1996,1,16,607,13
1996,1,17,615,8
1996,1,18,618,3
1996,1,19,628,10
1996,1,22,632,4
1996,1,23,627,-5
1996,1,24,627,0
1996,1,25,626,-1
1996,1,26,625,-1
1996,1,29,633,8
1996,1,30,633,0
1996,1,31,633,0
1996,2,1,635,2
1996,2,2,633,-2
1996,2,5,633,0
1996,2,6,629,-4
1996,2,7,632,3
1996,2,8,637,5
1996,2,9,638,1
1996,2,12,651,13
1996,2,13,652,1
1996,2,14,653,1
1996,2,15,641,-12
1996,2,16,641,0
1996,2,21,643,2
1996,2,22,645,2
1996,2,23,656,11
1996,2,26,668,12
1996,2,27,670,2
1996,2,28,674,4
1996,2,29,676,2
1996,3,4,680,4
1996,3,5,690,10
1996,3,6,684,-6
1996,3,7,684,0
1996,3,8,685,1
1996,3,11,694,9
1996,3,12,703,9
1996,3,13,707,4
1996,3,14,706,-1
1996,3,15,711,5
1996,3,18,713,2
1996,3,19,713,0
1996,3,20,713,0
1996,3,21,716,3
1996,3,22,716,0
1996,3,25,716,0
1996,3,26,718,2
1996,3,27,721,3
1996,3,28,729,8
1996,3,29,731,2
1996,4,1,739,8
1996,4,2,768,29
1996,4,3,789,21
1996,4,4,843,54
1996,4,6,862,19
1996,4,8,918,56
1996,4,9,975,57
1996,4,10,1001,26
1996,4,12,1005,4
1996,4,15,1073,68
1996,4,16,1096,23
1996,4,17,1117,21
1996,4,18,1125,8
1996,4,19,1125,0
1996,4,22,1121,-4
1996,4,23,1121,0
1996,4,24,1117,-4
1996,4,25,1113,-4
1996,4,26,1114,1
1996,4,29,1091,-23
1996,4,30,1086,-5
1996,5,2,996,-90
1996,5,3,1043,47
1996,5,6,1109,66
1996,5,7,1158,49
1996,5,8,1262,104
1996,5,9,1316,54
1996,5,10,1316,0
1996,5,13,1299,-17
1996,5,14,1253,-46
1996,5,15,1220,-33
1996,5,16,1199,-21
1996,5,17,1187,-12
1996,5,20,1158,-29
1996,5,21,1110,-48
1996,5,22,1077,-33
1996,5,23,1064,-13
1996,5,27,1056,-8
1996,5,28,1060,4
1996,5,29,1043,-17
1996,5,30,1052,9
1996,5,31,1056,4
1996,6,3,1041,-15
1996,6,4,1028,-13
1996,6,5,1024,-4
1996,6,7,1018,-6
1996,6,10,1043,25
1996,6,11,1043,0
1996,6,12,1047,4
1996,6,13,1051,4
1996,6,14,1059,8
1996,6,17,1020,-39
1996,6,18,1033,13
1996,6,19,1016,-17
1996,6,20,1012,-4
1996,6,21,1033,21
1996,6,24,1039,6
1996,6,25,1023,-16
1996,6,26,1006,-17
1996,6,27,1006,0
1996,6,28,1006,0
1996,7,1,1016,10
1996,7,2,1016,0
1996,7,3,1003,-13
1996,7,4,1012,9
1996,7,5,1012,0
1996,7,6,1003,-9
1996,7,8,995,-8
1996,7,9,995,0
1996,7,10,995,0
1996,7,11,995,0
1996,7,12,995,0
1996,7,15,995,0
1996,7,16,995,0
1996,7,18,995,0
1996,7,19,1012,17
1996,7,22,993,-19
1996,7,23,973,-20
1996,7,24,968,-5
1996,7,25,968,0
1996,7,26,968,0
1996,7,29,960,-8
1996,7,30,960,0
1996,7,31,960,0
1996,8,1,956,-4
1996,8,2,956,0
1996,8,5,954,-2
1996,8,6,958,4
1996,8,7,963,5
1996,8,8,975,12
1996,8,9,975,0
1996,8,12,990,15
1996,8,13,992,2
1996,8,14,990,-2
1996,8,16,995,5
1996,8,19,995,0
1996,8,20,998,3
1996,8,21,1008,10
1996,8,22,1012,4
1996,8,23,1035,23
1996,8,26,1035,0
1996,8,27,1037,2
1996,8,28,1049,12
1996,8,29,1053,4
1996,8,30,1063,10
1996,9,2,1072,9
1996,9,3,1088,16
1996,9,4,1102,14
1996,9,5,1102,0
1996,9,6,1143,41
1996,9,9,1152,9
1996,9,10,1189,37
1996,9,11,1204,15
1996,9,12,1204,0
1996,9,13,1204,0
1996,9,16,1196,-8
1996,9,17,1196,0
1996,9,18,1188,-8
1996,9,19,1188,0
