year,month,day,avg_price,gap
1996,1,3,150,-439
1996,1,4,150,0
1996,1,5,150,0
1996,1,8,150,0
1996,1,9,150,0
1996,1,10,160,10
1996,1,11,160,0
1996,1,12,160,0
1996,1,15,160,0
1996,1,16,160,0
1996,1,17,160,0
1996,1,18,160,0
1996,1,19,160,0
1996,1,22,160,0
1996,1,23,160,0
1996,1,24,160,0
1996,1,25,170,10
1996,1,26,170,0
1996,1,29,170,0
1996,1,30,170,0
1996,1,31,170,0
1996,2,1,170,0
1996,2,2,170,0
1996,2,5,170,0
1996,2,6,170,0
1996,2,7,170,0
1996,2,8,170,0
1996,2,9,170,0
1996,2,12,180,10
1996,2,13,180,0
1996,2,14,180,0
1996,2,15,180,0
1996,2,16,190,10
1996,2,21,190,0
1996,2,22,190,0
1996,2,23,190,0
1996,2,26,190,0
1996,2,27,190,0
1996,2,28,190,0
1996,2,29,190,0
1996,3,4,190,0
1996,3,5,190,0
1996,3,6,190,0
1996,3,7,190,0
1996,3,8,190,0
1996,3,11,200,10
1996,3,12,200,0
1996,3,13,200,0
1996,3,14,200,0
1996,3,15,200,0
1996,3,18,200,0
1996,3,19,200,0
1996,3,20,200,0
1996,3,21,200,0
1996,3,22,200,0
1996,3,25,200,0
1996,3,26,200,0
1996,3,27,200,0
1996,3,28,200,0
1996,3,29,200,0
1996,4,1,200,0
1996,4,2,200,0
1996,4,3,200,0
1996,4,4,190,-10
1996,4,6,190,0
1996,4,8,190,0
1996,4,9,190,0
1996,4,10,190,0
1996,4,12,190,0
1996,4,15,190,0
1996,4,16,190,0
1996,4,17,190,0
1996,4,18,190,0
1996,4,19,190,0
1996,4,22,190,0
1996,4,23,190,0
1996,4,24,190,0
1996,4,25,190,0
1996,4,26,190,0
1996,4,29,190,0
1996,4,30,190,0
1996,5,2,190,0
1996,5,3,200,10
1996,5,6,190,-10
1996,5,7,190,0
1996,5,8,190,0
1996,5,9,190,0
1996,5,10,190,0
1996,5,13,190,0
1996,5,14,190,0
1996,5,15,190,0
1996,5,16,190,0
1996,5,17,190,0
1996,5,20,190,0
1996,5,21,180,-10
1996,5,22,180,0
1996,5,23,170,-10
1996,5,27,170,0
1996,5,28,160,-10
1996,5,29,160,0
1996,5,30,160,0
1996,5,31,160,0
1996,6,3,160,0
1996,6,4,150,-10
1996,6,5,150,0
1996,6,7,150,0
1996,6,10,150,0
1996,6,11,150,0
1996,6,12,150,0
1996,6,13,150,0
1996,6,14,140,-10
1996,6,17,140,0
1996,6,18,140,0
1996,6,19,140,0
1996,6,20,140,0
1996,6,21,140,0
1996,6,24,140,0
1996,6,25,140,0
1996,6,26,140,0
1996,6,27,140,0
1996,6,28,140,0
1996,7,1,130,-10
1996,7,2,130,0
1996,7,3,130,0
1996,7,4,130,0
1996,7,5,130,0
1996,7,6,130,0
1996,7,8,130,0
1996,7,9,130,0
1996,7,10,130,0
1996,7,11,130,0
1996,7,12,130,0
1996,7,15,130,0
1996,7,16,130,0
1996,7,18,130,0
1996,7,19,120,-10
1996,7,22,120,0
1996,7,23,120,0
1996,7,24,120,0
1996,7,25,120,0
1996,7,26,120,0
1996,7,29,120,0
1996,7,30,120,0
1996,7,31,120,0
1996,8,1,120,0
1996,8,2,120,0
1996,8,5,110,-10
1996,8,6,120,10
1996,8,7,120,0
1996,8,8,120,0
1996,8,9,120,0
1996,8,12,130,10
1996,8,13,130,0
1996,8,14,130,0
1996,8,16,130,0
1996,8,19,130,0
1996,8,20,130,0
1996,8,21,130,0
1996,8,22,130,0
1996,8,23,130,0
1996,8,26,130,0
1996,8,27,130,0
1996,8,28,130,0
1996,8,29,130,0
1996,8,30,130,0
1996,9,2,130,0
1996,9,3,130,0
1996,9,4,130,0
1996,9,5,130,0
1996,9,6,130,0
1996,9,9,120,-10
1996,9,10,120,0
1996,9,11,120,0
1996,9,12,120,0
1996,9,13,120,0
1996,9,16,120,0
1996,9,17,120,0
1996,9,18,120,0
1996,9,19,120,0
1996,9,20,120,0
1996,9,23,120,0
1996,9,24,120,0
1996,9,25,120,0
1996,9,30,120,0
1996,10,1,120,0
1996,10,2,120,0
1996,10,4,120,0
1996,10,7,120,0
1996,10,8,120,0
1996,10,9,120,0
1996,10,10,120,0
1996,10,11,120,0
1996,10,14,120,0
1996,10,15,120,0
1996,10,16,120,0
1996,10,17,120,0
1996,10,18,120,0
1996,10,21,120,0
1996,10,22,110,-10
1996,10,23,110,0
1996,10,24,110,0
1996,10,25,110,0
1996,10,28,110,0
1996,10,29,110,0
1996,10,30,110,0
1996,10,31,110,0
1996,11,1,110,0
1996,11,4,110,0
1996,11,5,110,0
1996,11,6,110,0
1996,11,7,110,0
1996,11,8,110,0
1996,11,9,110,0
1996,11,11,110,0
1996,11,12,110,0
1996,11,13,110,0
1996,11,14,110,0
1996,11,15,110,0
1996,11,16,110,0
1996,11,18,110,0
1996,11,19,110,0
1996,11,20,110,0
1996,11,21,110,0
1996,11,22,110,0
