year,month,day,avg_price,rate
2025,6,3,14198,HIGH
2025,6,4,15076,HIGH
2025,6,5,26239,HIGH
2025,6,6,29982,HIGH
2025,6,7,31259,HIGH
2025,6,8,34956,HIGH
2025,6,9,32113,HIGH
2025,6,10,30123,HIGH
2025,6,11,33538,HIGH
2025,6,12,36532,HIGH
2025,6,13,35161,HIGH
2025,6,14,31607,HIGH
2025,6,15,35581,HIGH
2025,6,16,32872,HIGH
2025,6,17,31263,HIGH
2025,6,18,29597,HIGH
2025,6,19,33279,HIGH
2025,6,20,32932,HIGH
2025,6,21,31400,HIGH
2025,6,22,29890,HIGH
2025,6,23,29354,HIGH
2025,6,24,29890,HIGH
2025,6,25,28166,HIGH
2025,6,26,28661,HIGH
2025,6,27,28109,HIGH
2025,6,28,27023,HIGH
2025,6,29,31262,HIGH
2025,6,30,28583,HIGH
2025,7,1,26643,HIGH
2025,6,3,28024,SPECIAL
2025,6,4,27656,SPECIAL
2025,6,5,21899,SPECIAL
2025,6,6,18335,SPECIAL
2025,6,7,16630,SPECIAL
2025,6,8,12234,SPECIAL
2025,6,9,13905,SPECIAL
2025,6,10,15778,SPECIAL
2025,6,11,21695,SPECIAL
2025,6,12,19627,SPECIAL
2025,6,13,16962,SPECIAL
2025,6,14,19310,SPECIAL
2025,6,15,15925,SPECIAL
2025,6,16,18006,SPECIAL
2025,6,17,17011,SPECIAL
2025,6,18,18031,SPECIAL
2025,6,19,15896,SPECIAL
2025,6,20,16764,SPECIAL
2025,6,21,15418,SPECIAL
2025,6,22,15983,SPECIAL
2025,6,23,15433,SPECIAL
2025,6,24,15051,SPECIAL
2025,6,25,16348,SPECIAL
2025,6,26,16296,SPECIAL
2025,6,27,14720,SPECIAL
2025,6,28,14546,SPECIAL
2025,6,29,10562,SPECIAL
2025,6,30,11231,SPECIAL
2025,7,1,13100,SPECIAL
