year,month,day,avg_price,gap
1996,1,3,956,0
1996,1,4,940,-16
1996,1,5,933,-7
1996,1,8,938,5
1996,1,9,969,31
1996,1,10,994,25
1996,1,11,979,-15
1996,1,12,963,-16
1996,1,15,967,4
1996,1,16,971,4
1996,1,17,974,3
1996,1,18,987,13
1996,1,19,987,0
1996,1,22,989,2
1996,1,23,992,3
1996,1,24,992,0
1996,1,25,1000,8
1996,1,26,1013,13
1996,1,29,1004,-9
1996,1,30,1004,0
1996,1,31,996,-8
1996,2,1,967,-29
1996,2,2,983,16
1996,2,5,979,-4
1996,2,6,992,13
1996,2,7,1000,8
1996,2,8,1004,4
1996,2,9,1017,13
1996,2,12,1067,50
1996,2,13,1092,25
1996,2,14,1088,-4
1996,2,15,1096,8
1996,2,16,1096,0
1996,2,21,1088,-8
1996,2,22,1092,4
1996,2,23,1117,25
1996,2,26,1146,29
1996,2,27,1171,25
1996,2,28,1179,8
1996,2,29,1179,0
1996,3,4,1188,9
1996,3,5,1196,8
1996,3,6,1213,17
1996,3,7,1213,0
1996,3,8,1229,16
1996,3,11,1279,50
1996,3,12,1288,9
1996,3,13,1296,8
1996,3,14,1296,0
1996,3,15,1304,8
1996,3,18,1304,0
1996,3,19,1313,9
1996,3,20,1313,0
1996,3,21,1308,-5
1996,3,22,1317,9
1996,3,25,1333,16
1996,3,26,1325,-8
1996,3,27,1333,8
1996,3,28,1333,0
1996,3,29,1333,0
1996,4,1,1317,-16
1996,4,2,1317,0
1996,4,3,1313,-4
1996,4,4,1317,4
1996,4,6,1321,4
1996,4,8,1388,67
1996,4,9,1392,4
1996,4,10,1388,-4
1996,4,12,1446,58
1996,4,15,1554,108
1996,4,16,1562,8
1996,4,17,1569,7
1996,4,18,1631,62
1996,4,19,1638,7
1996,4,22,1867,229
1996,4,23,1858,-9
1996,4,24,1846,-12
1996,4,25,1873,27
1996,4,26,1914,41
1996,4,29,1871,-43
1996,4,30,1900,29
1996,5,2,1928,28
1996,5,3,1928,0
1996,5,6,1906,-22
1996,5,7,1894,-12
1996,5,8,1863,-31
1996,5,9,1860,-3
1996,5,10,1860,0
1996,5,13,1821,-39
1996,5,14,1763,-58
1996,5,15,1733,-30
1996,5,16,1683,-50
1996,5,17,1650,-33
1996,5,20,1558,-92
1996,5,21,1546,-12
1996,5,22,1467,-79
1996,5,23,1421,-46
1996,5,27,1296,-125
1996,5,28,1238,-58
1996,5,29,1213,-25
1996,5,30,1188,-25
1996,5,31,1171,-17
1996,6,3,1150,-1238
1996,6,4,1110,-40
1996,6,5,1100,-10
1996,6,7,1100,0
1996,6,10,1090,-10
1996,6,11,1090,0
1996,6,12,1120,30
1996,6,13,1120,0
1996,6,14,1110,-10
1996,6,17,1110,0
1996,6,18,1150,40
1996,6,19,1150,0
1996,6,20,1170,20
1996,6,21,1220,50
1996,6,24,1230,10
1996,6,25,1230,0
