year,month,day,avg_price,rate
2025,6,3,29908,HIGH
2025,6,4,27411,HIGH
2025,6,5,15825,HIGH
2025,6,6,18087,HIGH
2025,6,7,19004,HIGH
2025,6,8,20603,HIGH
2025,6,9,20054,HIGH
2025,6,10,20725,HIGH
2025,6,11,15154,HIGH
2025,6,12,22056,HIGH
2025,6,13,13724,HIGH
2025,6,14,16290,HIGH
2025,6,15,20299,HIGH
2025,6,16,19743,HIGH
2025,6,17,16323,HIGH
2025,6,18,17073,HIGH
2025,6,19,15761,HIGH
2025,6,20,16375,HIGH
2025,6,21,15047,HIGH
2025,6,22,16201,HIGH
2025,6,23,17213,HIGH
2025,6,24,15464,HIGH
2025,6,25,12903,HIGH
2025,6,26,14572,HIGH
2025,6,27,12953,HIGH
2025,6,28,12697,HIGH
2025,6,29,13168,HIGH
2025,6,30,17647,HIGH
2025,7,1,12608,HIGH
2025,6,3,42790,SPECIAL
2025,6,4,42395,SPECIAL
2025,6,5,46687,SPECIAL
2025,6,6,38480,SPECIAL
2025,6,7,36004,SPECIAL
2025,6,8,41191,SPECIAL
2025,6,9,33865,SPECIAL
2025,6,10,31384,SPECIAL
2025,6,11,33031,SPECIAL
2025,6,12,31118,SPECIAL
2025,6,13,30700,SPECIAL
2025,6,14,31300,SPECIAL
2025,6,15,30971,SPECIAL
2025,6,16,29890,SPECIAL
2025,6,17,31904,SPECIAL
2025,6,18,31353,SPECIAL
2025,6,19,31466,SPECIAL
2025,6,20,31367,SPECIAL
2025,6,21,31552,SPECIAL
2025,6,22,31434,SPECIAL
2025,6,23,34455,SPECIAL
2025,6,24,34288,SPECIAL
2025,6,25,36636,SPECIAL
2025,6,26,34194,SPECIAL
2025,6,27,33936,SPECIAL
2025,6,28,34443,SPECIAL
2025,6,29,37734,SPECIAL
2025,6,30,33209,SPECIAL
2025,7,1,35024,SPECIAL
