year,month,day,avg_price,gap
1996,1,3,1445,0
1996,1,4,1446,1
1996,1,5,1450,4
1996,1,8,1450,0
1996,1,9,1450,0
1996,1,10,1467,17
1996,1,11,1483,16
1996,1,12,1483,0
1996,1,15,1513,30
1996,1,16,1550,37
1996,1,17,1567,17
1996,1,18,1575,8
1996,1,19,1575,0
1996,1,22,1608,33
1996,1,23,1613,5
1996,1,24,1621,8
1996,1,25,1625,4
1996,1,26,1625,0
1996,1,29,1629,4
1996,1,30,1654,25
1996,1,31,1658,4
1996,2,1,1658,0
1996,2,2,1650,-8
1996,2,5,1683,33
1996,2,6,1683,0
1996,2,7,1700,17
1996,2,8,1704,4
1996,2,9,1721,17
1996,2,12,1729,8
1996,2,13,1763,34
1996,2,14,1763,0
1996,2,15,1763,0
1996,2,16,1771,8
1996,2,21,1763,-8
1996,2,22,1763,0
1996,2,23,1763,0
1996,2,26,1771,8
1996,2,27,1771,0
1996,2,28,1754,-17
1996,2,29,1754,0
1996,3,4,1783,29
1996,3,5,1783,0
1996,3,6,1783,0
1996,3,7,1783,0
1996,3,8,1800,17
1996,3,11,1800,0
1996,3,12,1825,25
1996,3,13,1825,0
1996,3,14,1825,0
1996,3,15,1842,17
1996,3,18,1883,41
1996,3,19,1875,-8
1996,3,20,1858,-17
1996,3,21,1858,0
1996,3,22,1863,5
1996,3,25,1854,-9
1996,3,26,1871,17
1996,3,27,1871,0
1996,3,28,1888,17
1996,3,29,1896,8
1996,4,1,1913,17
1996,4,2,1913,0
1996,4,3,1913,0
1996,4,4,1913,0
1996,4,6,1913,0
1996,4,8,1913,0
1996,4,9,1913,0
1996,4,10,1904,-9
1996,4,12,1904,0
1996,4,15,1896,-8
1996,4,16,1888,-8
1996,4,17,1888,0
1996,4,18,1908,20
1996,4,19,1904,-4
1996,4,22,1917,13
1996,4,23,1917,0
1996,4,24,1917,0
1996,4,25,1950,33
1996,4,26,1958,8
1996,4,29,1992,34
1996,4,30,2000,8
1996,5,2,2082,82
1996,5,3,2127,45
1996,5,6,2145,18
1996,5,7,2191,46
1996,5,8,2209,18
1996,5,9,2245,36
1996,5,10,2245,0
1996,5,13,2210,-35
1996,5,14,2211,1
1996,5,15,2211,0
1996,5,16,2129,-82
1996,5,17,2129,0
1996,5,20,2100,-29
1996,5,21,2100,0
