year,month,day,avg_price,gap
1996,3,13,2000,0
1996,3,14,2000,0
1996,3,15,2000,0
1996,3,18,2000,0
1996,3,19,2000,0
1996,3,20,2000,0
1996,3,21,2000,0
1996,3,22,2610,610
1996,3,25,2609,-1
1996,3,26,2508,-101
1996,3,27,2533,25
1996,3,28,2500,-33
1996,3,29,2500,0
1996,4,1,2467,-33
1996,4,2,2442,-25
1996,4,3,2442,0
1996,4,4,2442,0
1996,4,6,2433,-9
1996,4,8,2408,-25
1996,4,9,2400,-8
1996,4,10,2400,0
1996,4,12,2383,-17
1996,4,15,2283,-100
1996,4,16,2233,-50
1996,4,17,2217,-16
1996,4,18,2200,-17
1996,4,19,2175,-25
1996,4,22,2175,0
1996,4,23,2108,-67
1996,4,24,2067,-41
1996,4,25,2067,0
1996,4,26,2067,0
1996,4,29,2063,-4
1996,4,30,2088,25
1996,5,2,2058,-30
1996,5,3,2100,42
1996,5,6,2100,0
1996,5,7,2142,42
1996,5,8,2100,-42
1996,5,9,2096,-4
1996,5,10,2096,0
1996,5,13,2117,21
1996,5,14,2150,33
1996,5,15,2217,67
1996,5,16,2242,25
1996,5,17,2292,50
1996,5,20,2300,8
1996,5,21,2250,-50
1996,5,22,2117,-133
1996,5,23,2104,-13
1996,5,27,2113,9
1996,5,28,2113,0
1996,5,29,2113,0
1996,5,30,2104,-9
1996,5,31,2100,-4
1996,6,3,2110,-1720
1996,6,4,2040,-70
1996,6,5,2030,-10
1996,6,7,2030,0
1996,6,10,2020,-10
1996,6,11,2020,0
1996,6,12,2020,0
1996,6,13,2030,10
1996,6,14,2030,0
1996,6,17,2030,0
1996,6,18,2030,0
1996,6,19,2080,50
1996,6,20,2060,-20
1996,6,21,2020,-40
1996,6,24,2020,0
1996,6,25,1990,-30
1996,6,26,1980,-10
1996,6,27,1970,-10
1996,6,28,1970,0
1996,7,1,1980,10
1996,7,2,2000,20
1996,7,3,2000,0
1996,7,4,2070,70
1996,7,5,2090,20
1996,7,6,2090,0
1996,7,8,2090,0
1996,7,9,2140,50
1996,7,10,2180,40
1996,7,11,2220,40
1996,7,12,2260,40
1996,7,15,2280,20
1996,7,16,2380,100
1996,7,18,2420,40
1996,7,19,2460,40
1996,7,22,2520,60
1996,7,23,2580,60
1996,7,24,2480,-100
1996,7,25,2450,-30
1996,7,26,2410,-40
1996,7,29,2460,50
1996,7,30,2500,40
1996,7,31,2440,-60
1996,8,1,2440,0
1996,8,2,2440,0
1996,8,5,2430,-10
1996,8,6,2430,0
1996,8,7,2400,-30
1996,8,8,2360,-40
1996,8,9,2400,40
1996,8,12,2490,90
1996,8,13,2620,130
1996,8,14,2670,50
1996,8,16,2740,70
1996,8,19,2760,20
1996,8,20,2740,-20
1996,8,21,2760,20
1996,8,22,2760,0
1996,8,23,2790,30
1996,8,26,2770,-20
1996,8,27,2770,0
1996,8,28,2730,-40
1996,8,29,2730,0
1996,8,30,2710,-20
1996,9,2,2690,-20
1996,9,3,2720,30
1996,9,4,2860,140
1996,9,5,2910,50
1996,9,6,2940,30
1996,9,9,3040,100
1996,9,10,3040,0
1996,9,11,3040,0
1996,9,12,3040,0
1996,9,13,3040,0
1996,9,16,3400,360
1996,9,17,3750,350
1996,9,18,3750,0
1996,9,19,3500,-250
1996,9,20,3500,0
1996,9,23,3500,0
1996,9,24,3500,0
1996,9,25,3500,0
1996,9,30,3500,0
1996,10,1,3500,0
1996,10,2,3500,0
1996,10,4,3000,-500
1997,3,19,3340,340
1997,3,20,3370,30
1997,3,21,3360,-10
1997,3,22,3460,100
1997,3,24,3460,0
1997,3,25,3440,-20
1997,3,26,3430,-10
1997,3,27,3450,20
1997,3,28,3470,20
1997,3,29,3470,0
1997,3,31,3450,-20
1997,4,1,3480,30
1997,4,2,3480,0
1997,4,3,3480,0
1997,4,4,3490,10
1997,4,7,3460,-30
1997,4,8,3460,0
1997,4,9,3330,-130
1997,4,10,3480,150
1997,4,11,3470,-10
1997,4,12,3480,10
1997,4,14,3470,-10
1997,4,15,3470,0
1997,4,16,3460,-10
1997,4,17,3460,0
1997,4,18,3460,0
1997,4,19,3450,-10
1997,4,21,3400,-50
1997,4,22,3400,0
1997,4,23,3290,-110
1997,4,24,3250,-40
1997,4,25,3200,-50
1997,4,26,3190,-10
1997,4,28,3180,-10
1997,4,29,3140,-40
1997,4,30,3140,0
1997,5,2,3200,60
1997,5,3,3170,-30
1997,5,6,2950,-220
1997,5,7,2900,-50
1997,5,8,2840,-60
1997,5,9,2790,-50
1997,5,10,2750,-40
1997,5,12,2640,-110
1997,5,13,2550,-90
1997,5,15,2470,-80
1997,5,16,2390,-80
1997,5,17,2380,-10
1997,5,19,2350,-30
1997,5,20,2280,-70
1997,5,21,2250,-30
1997,5,22,2240,-10
1997,5,23,2230,-10
1997,5,24,2220,-10
1997,5,26,2220,0
1997,5,27,2200,-20
1997,5,28,2170,-30
1997,5,29,2150,-20
1997,5,30,2130,-20
1997,5,31,2170,40
1997,6,2,2110,-60
1997,6,3,2110,0
1997,6,4,2110,0
1997,6,5,2110,0
1997,6,7,2140,30
1997,6,9,2120,-20
1997,6,10,2120,0
1997,6,11,2090,-30
1997,6,12,2050,-40
1997,6,13,2010,-40
1997,6,14,2000,-10
1997,6,16,1960,-40
1997,6,17,1840,-120
1997,6,18,1810,-30
1997,6,19,1800,-10
1997,6,20,1700,-100
1997,6,21,1650,-50
1997,6,23,1600,-50
1997,6,24,1580,-20
1997,6,25,1440,-140
1997,6,26,1420,-20
1997,6,27,1410,-10
1997,6,28,1420,10
1997,6,30,1410,-10
1997,7,1,1380,-30
1997,7,2,1350,-30
1997,7,3,1310,-40
1997,7,4,1290,-20
1997,7,5,1280,-10
1997,7,7,1260,-20
1997,7,8,1220,-40
1997,7,9,1220,0
1997,7,10,1220,0
1997,7,11,1230,10
1997,7,12,1250,20
1997,7,14,1300,50
1997,7,15,1300,0
1997,7,16,1340,40
1997,7,18,1420,80
1997,7,19,1430,10
1997,7,21,1500,70
1997,7,22,1520,20
1997,7,23,1550,30
1997,7,24,1600,50
1997,7,25,1620,20
1997,7,26,1620,0
1997,7,28,1570,-50
