year,month,day,intake,avg_price,gap,rate
2012,1,5,21,17996,0,HIGH
2012,1,6,39,17029,-967,HIGH
2012,1,7,23,15553,-1476,HIGH
2012,1,9,37,16567,1014,HIGH
2012,1,10,23,16796,229,HIGH
2012,1,11,28,17099,303,HIGH
2012,1,12,19,18620,1521,HIGH
2012,1,13,36,18613,-7,HIGH
2012,1,14,22,17629,-984,HIGH
2012,1,16,31,18505,876,HIGH
2012,1,17,26,17561,-944,HIGH
2012,1,18,26,18648,1087,HIGH
2012,1,19,24,18552,-96,HIGH
2012,1,20,37,18166,-386,HIGH
2012,1,21,15,20966,2800,HIGH
2012,1,26,34,20267,-699,HIGH
2012,1,27,55,19862,-405,HIGH
2012,1,28,33,18703,-1159,HIGH
2012,1,30,41,22150,3447,HIGH
2012,1,31,32,19874,-2276,HIGH
2012,2,1,23,20430,556,HIGH
2012,2,2,13,20088,-342,HIGH
2012,2,3,40,23914,3826,HIGH
2012,2,4,25,22108,-1806,HIGH
2012,2,6,44,23227,1119,HIGH
2012,2,7,25,24063,836,HIGH
2012,2,8,18,23300,-763,HIGH
2012,2,9,24,26019,2719,HIGH
2012,2,10,40,28059,2040,HIGH
2012,2,11,33,27140,-919,HIGH
2012,2,13,55,31820,4680,HIGH
2012,2,14,39,31411,-409,HIGH
2012,2,15,30,28641,-2770,HIGH
2012,2,16,25,31653,3012,HIGH
2012,2,17,48,35402,3749,HIGH
2012,2,18,33,32607,-2795,HIGH
2012,2,20,50,33648,1041,HIGH
2012,2,21,44,30539,-3109,HIGH
2012,2,22,34,27123,-3416,HIGH
2012,2,23,28,30185,3062,HIGH
2012,2,24,50,29739,-446,HIGH
2012,2,25,40,30672,933,HIGH
2012,2,27,58,31202,530,HIGH
2012,2,28,41,30427,-775,HIGH
2012,2,29,33,32162,1735,HIGH
2012,3,1,29,34409,2247,HIGH
2012,3,2,59,33263,-1146,HIGH
2012,3,3,44,33436,173,HIGH
2012,3,5,63,37396,3960,HIGH
2012,3,6,50,31273,-6123,HIGH
2012,3,7,32,31666,393,HIGH
2012,3,8,35,35758,4092,HIGH
2012,3,9,50,33140,-2618,HIGH
2012,3,10,44,31687,-1453,HIGH
2012,3,12,59,32540,853,HIGH
2012,3,13,54,28559,-3981,HIGH
2012,3,14,43,29306,747,HIGH
2012,3,15,33,32058,2752,HIGH
2012,3,16,62,29945,-2113,HIGH
2012,3,17,50,30795,850,HIGH
2012,3,19,66,31394,599,HIGH
2012,3,20,60,28597,-2797,HIGH
2012,3,21,46,30935,2338,HIGH
2012,3,22,49,27464,-3471,HIGH
2012,3,23,66,25306,-2158,HIGH
2012,3,24,42,28358,3052,HIGH
2012,3,26,56,31294,2936,HIGH
2012,3,27,55,27717,-3577,HIGH
2012,3,28,46,29094,1377,HIGH
2012,3,29,35,31994,2900,HIGH
2012,3,30,69,29079,-2915,HIGH
2012,3,31,58,31345,2266,HIGH
2012,4,2,83,32240,895,HIGH
2012,4,3,81,25569,-6671,HIGH
2012,4,4,58,26927,1358,HIGH
2012,4,5,55,27447,520,HIGH
2012,4,6,72,24238,-3209,HIGH
2012,4,7,67,27689,3451,HIGH
2012,4,9,85,27505,-184,HIGH
2012,4,10,70,24535,-2970,HIGH
2012,4,11,58,28070,3535,HIGH
2012,4,12,46,30923,2853,HIGH
2012,4,13,86,30020,-903,HIGH
2012,4,14,64,31247,1227,HIGH
2012,4,16,96,29557,-1690,HIGH
2012,4,17,78,25413,-4144,HIGH
2012,4,18,62,28622,3209,HIGH
2012,4,19,56,30189,1567,HIGH
2012,4,20,80,31943,1754,HIGH
2012,4,21,65,31823,-120,HIGH
2012,4,23,84,31303,-520,HIGH
2012,4,24,73,27913,-3390,HIGH
2012,4,25,69,29278,1365,HIGH
2012,4,26,50,30259,981,HIGH
2012,4,27,84,28849,-1410,HIGH
2012,4,28,83,30174,1325,HIGH
2012,4,30,102,28471,-1703,HIGH
2012,5,1,82,21683,-6788,HIGH
2012,5,2,66,25453,3770,HIGH
2012,5,3,65,22066,-3387,HIGH
2012,5,4,104,21351,-715,HIGH
2012,5,5,99,18601,-2750,HIGH
2012,5,7,131,21075,2474,HIGH
2012,5,8,103,14305,-6770,HIGH
2012,5,9,91,20230,5925,HIGH
2012,5,10,76,16514,-3716,HIGH
2012,5,11,100,16494,-20,HIGH
2012,5,12,104,14747,-1747,HIGH
2012,5,14,131,13808,-939,HIGH
2012,5,15,90,12444,-1364,HIGH
2012,5,16,85,13786,1342,HIGH
2012,5,17,74,13793,7,HIGH
2012,5,18,99,14661,868,HIGH
2012,5,19,95,14306,-355,HIGH
2012,5,21,113,15199,893,HIGH
