year,month,day,intake,avg_price,gap,rate
2015,1,3,224,565,0,HIGH
2015,1,3,32,694,0,Special
2015,1,5,246,581,16,HIGH
2015,1,5,35,729,35,Special
2015,1,6,281,590,9,HIGH
2015,1,6,40,711,-18,Special
2015,1,7,250,561,-29,HIGH
2015,1,7,36,698,-13,Special
2015,1,8,270,528,-33,HIGH
2015,1,8,39,644,-54,Special
2015,1,9,244,530,2,HIGH
2015,1,9,35,667,23,Special
2015,1,10,215,521,-9,HIGH
2015,1,10,31,659,-8,Special
2015,1,12,229,545,24,HIGH
2015,1,12,33,676,17,Special
2015,1,13,249,542,-3,HIGH
2015,1,13,36,689,13,Special
2015,1,14,229,539,-3,HIGH
2015,1,14,33,710,21,Special
2015,1,15,232,529,-10,HIGH
2015,1,15,33,715,5,Special
2015,1,16,259,541,12,HIGH
2015,1,16,37,743,28,Special
2015,1,17,205,552,11,HIGH
2015,1,17,29,802,59,Special
2015,1,19,226,568,16,HIGH
2015,1,19,32,860,58,Special
2015,1,20,260,548,-20,HIGH
2015,1,20,37,777,-83,Special
2015,1,21,219,555,7,HIGH
2015,1,21,31,765,-12,Special
2015,1,22,200,572,17,HIGH
2015,1,22,29,811,46,Special
2015,1,23,238,564,-8,HIGH
2015,1,23,34,769,-42,Special
2015,1,24,236,566,2,HIGH
2015,1,24,34,790,21,Special
2015,1,26,287,545,-21,HIGH
2015,1,26,41,744,-46,Special
2015,1,27,234,547,2,HIGH
2015,1,27,33,717,-27,Special
2015,1,28,181,545,-2,HIGH
2015,1,28,26,707,-10,Special
2015,1,29,251,549,4,HIGH
2015,1,29,36,733,26,Special
2015,1,30,201,560,11,HIGH
2015,1,30,29,774,41,Special
2015,1,31,255,544,-16,HIGH
2015,1,31,36,712,-62,Special
2015,2,2,203,574,30,HIGH
2015,2,2,29,759,47,Special
2015,2,3,237,562,-12,HIGH
2015,2,3,34,735,-24,Special
2015,2,4,250,539,-23,HIGH
2015,2,4,36,693,-42,Special
2015,2,5,228,572,33,HIGH
2015,2,5,33,751,58,Special
2015,2,6,271,575,3,HIGH
2015,2,6,39,753,2,Special
2015,2,7,253,585,10,HIGH
2015,2,7,36,802,49,Special
2015,2,9,261,589,4,HIGH
2015,2,9,37,787,-15,Special
2015,2,10,301,590,1,HIGH
2015,2,10,43,788,1,Special
