year,month,day,intake,avg_price,gap,rate
2015,1,3,237,21939,0,HIGH
2015,1,3,34,28963,0,Special
2015,1,5,233,22726,787,HIGH
2015,1,5,33,31761,2798,Special
2015,1,6,226,23122,396,HIGH
2015,1,6,32,34479,2718,Special
2015,1,7,210,22412,-710,HIGH
2015,1,7,30,30388,-4091,Special
2015,1,8,266,22544,132,HIGH
2015,1,8,38,32491,2103,Special
2015,1,9,187,22953,409,HIGH
2015,1,9,27,34675,2184,Special
2015,1,10,204,21951,-1002,HIGH
2015,1,10,29,29313,-5362,Special
2015,1,12,236,23024,1073,HIGH
2015,1,12,34,35102,5789,Special
2015,1,13,210,22444,-580,HIGH
2015,1,13,30,31021,-4081,Special
2015,1,14,222,23186,742,HIGH
2015,1,14,32,33906,2885,Special
2015,1,15,215,21206,-1980,HIGH
2015,1,15,31,27935,-5971,Special
2015,1,16,204,23204,1998,HIGH
2015,1,16,29,34991,7056,Special
2015,1,17,199,21169,-2035,HIGH
2015,1,17,28,28883,-6108,Special
2015,1,19,212,22341,1172,HIGH
2015,1,19,30,33615,4732,Special
2015,1,20,181,21268,-1073,HIGH
2015,1,20,26,32345,-1270,Special
2015,1,21,167,21027,-241,HIGH
2015,1,21,24,32117,-228,Special
2015,1,22,215,20033,-994,HIGH
2015,1,22,31,25782,-6335,Special
2015,1,23,161,21210,1177,HIGH
2015,1,23,23,33690,7908,Special
2015,1,24,151,23571,2361,HIGH
2015,1,24,22,35084,1394,Special
2015,1,26,218,23603,32,HIGH
2015,1,26,31,36002,918,Special
2015,1,27,213,21045,-2558,HIGH
2015,1,27,30,29415,-6587,Special
2015,1,28,220,22231,1186,HIGH
2015,1,28,32,33297,3882,Special
2015,1,29,218,21501,-730,HIGH
2015,1,29,31,30081,-3216,Special
2015,1,30,186,22018,517,HIGH
2015,1,30,27,26528,-3553,Special
2015,1,31,164,22201,183,HIGH
2015,1,31,23,28112,1584,Special
2015,2,2,197,23779,1578,HIGH
2015,2,2,28,31402,3290,Special
2015,2,3,165,25063,1284,HIGH
2015,2,3,24,37281,5879,Special
2015,2,4,141,23556,-1507,HIGH
2015,2,4,20,31990,-5291,Special
2015,2,5,266,23583,27,HIGH
2015,2,5,38,28693,-3297,Special
2015,2,6,229,25476,1893,HIGH
2015,2,6,33,37558,8865,Special
2015,2,7,219,24505,-971,HIGH
2015,2,7,31,29675,-7883,Special
2015,2,9,285,24425,-80,HIGH
2015,2,9,41,32498,2823,Special
2015,2,10,216,24244,-181,HIGH
2015,2,10,31,38533,6035,Special
2015,2,11,265,21960,-2284,HIGH
2015,2,11,38,31368,-7165,Special
2015,2,12,220,21402,-558,HIGH
2015,2,12,31,29342,-2026,Special
2015,2,13,290,23792,2390,HIGH
2015,2,13,42,36035,6693,Special
2015,2,14,303,22097,-1695,HIGH
2015,2,14,43,30803,-5232,Special
2015,2,16,372,25236,3139,HIGH
2015,2,16,53,37064,6261,Special
2015,2,17,338,26549,1313,HIGH
2015,2,17,48,36531,-533,Special
2015,2,18,216,26549,0,HIGH
2015,2,18,31,36531,0,Special
2015,2,23,76,24692,-1857,HIGH
2015,2,23,11,32167,-4364,Special
2015,2,24,114,24778,86,HIGH
2015,2,24,16,34072,1905,Special
2015,2,25,179,26274,1496,HIGH
2015,2,25,26,39317,5245,Special
2015,2,26,249,26300,26,HIGH
2015,2,26,36,35516,-3801,Special
2015,2,27,250,28818,2518,HIGH
2015,2,27,36,38523,3007,Special
2015,2,28,227,30245,1427,HIGH
2015,2,28,32,37524,-999,Special
2015,3,2,229,32153,1908,HIGH
2015,3,2,33,45930,8406,Special
2015,3,3,243,28228,-3925,HIGH
2015,3,3,35,35001,-10929,Special
2015,3,4,229,26910,-1318,HIGH
2015,3,4,33,34265,-736,Special
2015,3,5,227,24993,-1917,HIGH
2015,3,5,32,28423,-5842,Special
2015,3,6,198,24651,-342,HIGH
2015,3,6,28,41462,13039,Special
2015,3,7,137,21822,-2829,HIGH
2015,3,7,20,27117,-14345,Special
2015,3,9,240,23445,1623,HIGH
2015,3,9,34,28707,1590,Special
2015,3,10,252,25908,2463,HIGH
2015,3,10,36,41304,12597,Special
2015,3,11,171,25483,-425,HIGH
2015,3,11,24,36408,-4896,Special
2015,3,12,168,24833,-650,HIGH
2015,3,12,24,30053,-6355,Special
2015,3,13,197,28264,3431,HIGH
2015,3,13,28,44470,14417,Special
2015,3,14,217,25548,-2716,HIGH
2015,3,14,31,30796,-13674,Special
2015,3,16,239,26171,623,HIGH
2015,3,16,34,35740,4944,Special
2015,3,17,181,25763,-408,HIGH
2015,3,17,26,31899,-3841,Special
