year,month,day,intake,avg_price,gap,rate
2015,1,3,105,13185,0,HIGH
2015,1,3,15,14405,0,Special
2015,1,5,204,12509,-676,HIGH
2015,1,5,29,15583,1178,Special
2015,1,6,201,12522,13,HIGH
2015,1,6,29,14327,-1256,Special
2015,1,7,179,12575,53,HIGH
2015,1,7,26,14282,-45,Special
2015,1,8,127,11810,-765,HIGH
2015,1,8,18,13246,-1036,Special
2015,1,9,116,12078,268,HIGH
2015,1,9,17,15164,1918,Special
2015,1,10,75,10956,-1122,HIGH
2015,1,10,11,12690,-2474,Special
2015,1,12,158,11659,703,HIGH
2015,1,12,23,14114,1424,Special
2015,1,13,134,12093,434,HIGH
2015,1,13,19,14985,871,Special
2015,1,14,138,12050,-43,HIGH
2015,1,14,20,13555,-1430,Special
2015,1,15,114,12128,78,HIGH
2015,1,15,16,15198,1643,Special
2015,1,16,103,12561,433,HIGH
2015,1,16,15,14160,-1038,Special
2015,1,17,106,11868,-693,HIGH
2015,1,17,15,14000,-160,Special
2015,1,19,160,13462,1594,HIGH
2015,1,19,23,14406,406,Special
2015,1,20,155,13180,-282,HIGH
2015,1,20,22,15373,967,Special
2015,1,21,133,14511,1331,HIGH
2015,1,21,19,17534,2161,Special
2015,1,22,142,15793,1282,HIGH
2015,1,22,20,33318,15784,Special
2015,1,23,145,16173,380,HIGH
2015,1,23,21,20438,-12880,Special
2015,1,24,95,15489,-684,HIGH
2015,1,24,14,22048,1610,Special
2015,1,26,176,16865,1376,HIGH
2015,1,26,25,18093,-3955,Special
2015,1,27,78,18095,1230,HIGH
2015,1,27,11,28232,10139,Special
2015,1,28,136,18060,-35,HIGH
2015,1,28,19,23568,-4664,Special
2015,1,29,113,18410,350,HIGH
2015,1,29,16,26716,3148,Special
2015,1,30,87,18974,564,HIGH
2015,1,30,12,22521,-4195,Special
2015,1,31,104,18029,-945,HIGH
2015,1,31,15,23251,730,Special
2015,2,2,204,18737,708,HIGH
2015,2,2,29,23898,647,Special
2015,2,3,140,18832,95,HIGH
2015,2,3,20,25851,1953,Special
2015,2,4,188,18326,-506,HIGH
2015,2,4,27,19618,-6233,Special
2015,2,5,173,18425,99,HIGH
2015,2,5,25,21399,1781,Special
2015,2,6,129,18774,349,HIGH
2015,2,6,18,22296,897,Special
2015,2,7,163,17129,-1645,HIGH
2015,2,7,23,19717,-2579,Special
2015,2,9,175,18273,1144,HIGH
2015,2,9,25,20148,431,Special
2015,2,10,67,17934,-339,HIGH
2015,2,10,10,21574,1426,Special
2015,2,11,178,17071,-863,HIGH
2015,2,11,25,18706,-2868,Special
2015,2,12,192,17940,869,HIGH
2015,2,12,27,19300,594,Special
2015,2,13,223,17717,-223,HIGH
2015,2,13,32,21194,1894,Special
2015,2,14,163,17103,-614,HIGH
2015,2,14,23,19042,-2152,Special
2015,2,16,230,18070,967,HIGH
2015,2,16,33,20168,1126,Special
2015,2,17,69,17170,-900,HIGH
2015,2,17,10,19460,-708,Special
2015,2,18,19,13240,-3930,HIGH
2015,2,18,3,18014,-1446,Special
2015,2,23,202,14840,1600,HIGH
2015,2,23,29,17540,-474,Special
2015,2,24,149,12563,-2277,HIGH
2015,2,24,21,17045,-495,Special
2015,2,25,99,14128,1565,HIGH
2015,2,25,14,18470,1425,Special
2015,2,26,152,16030,1902,HIGH
2015,2,26,22,18182,-288,Special
2015,2,27,173,16501,471,HIGH
2015,2,27,25,18979,797,Special
2015,2,28,93,14417,-2084,HIGH
2015,2,28,13,19475,496,Special
2015,3,2,180,16421,2004,HIGH
2015,3,2,26,19227,-248,Special
2015,3,3,110,15071,-1350,HIGH
2015,3,3,16,19176,-51,Special
2015,3,4,113,16744,1673,HIGH
2015,3,4,16,19997,821,Special
2015,3,5,156,17703,959,HIGH
2015,3,5,22,19268,-729,Special
2015,3,6,132,17908,205,HIGH
2015,3,6,19,21000,1732,Special
2015,3,7,119,15791,-2117,HIGH
2015,3,7,17,20144,-856,Special
2015,3,9,191,16189,398,HIGH
2015,3,9,27,18799,-1345,Special
2015,3,10,128,16082,-107,HIGH
2015,3,10,18,19908,1109,Special
2015,3,11,123,17296,1214,HIGH
2015,3,11,18,19728,-180,Special
2015,3,12,172,16940,-356,HIGH
2015,3,12,25,19000,-728,Special
2015,3,13,165,17630,690,HIGH
2015,3,13,24,20042,1042,Special
2015,3,14,89,17123,-507,HIGH
2015,3,14,13,19290,-752,Special
2015,3,16,212,16730,-393,HIGH
2015,3,16,30,18310,-980,Special
2015,3,17,196,15648,-1082,HIGH
2015,3,17,28,19470,1160,Special
2015,3,18,145,15754,106,HIGH
2015,3,18,21,17954,-1516,Special
2015,3,19,143,15692,-62,HIGH
2015,3,19,20,18730,776,Special
2015,3,20,141,15306,-386,HIGH
2015,3,20,20,18596,-134,Special
2015,3,21,72,14357,-949,HIGH
2015,3,21,10,17441,-1155,Special
2015,3,23,193,14696,339,HIGH
2015,3,23,28,17434,-7,Special
2015,3,24,191,14201,-495,HIGH
2015,3,24,27,17180,-254,Special
2015,3,25,136,14974,773,HIGH
2015,3,25,19,18116,936,Special
2015,3,26,148,12879,-2095,HIGH
2015,3,26,21,16217,-1899,Special
2015,3,27,135,14191,1312,HIGH
2015,3,27,19,17276,1059,Special
2015,3,28,94,11711,-2480,HIGH
2015,3,28,14,16145,-1131,Special
2015,3,30,196,11654,-57,HIGH
2015,3,30,28,15160,-985,Special
2015,3,31,202,11805,151,HIGH
2015,3,31,29,14996,-164,Special
2015,4,1,135,12939,1134,HIGH
2015,4,1,19,15447,451,Special
2015,4,2,137,11328,-1611,HIGH
2015,4,2,20,14740,-707,Special
2015,4,3,122,12293,965,HIGH
2015,4,3,17,15035,295,Special
2015,4,4,105,11732,-561,HIGH
2015,4,4,15,14396,-639,Special
2015,4,6,211,12148,416,HIGH
2015,4,6,30,14760,364,Special
2015,4,7,170,12382,234,HIGH
2015,4,7,24,14439,-321,Special
2015,4,8,166,12940,558,HIGH
2015,4,8,24,14282,-157,Special
2015,4,9,152,14555,1615,HIGH
2015,4,9,22,16299,2017,Special
2015,4,10,143,15470,915,HIGH
2015,4,10,20,17446,1147,Special
2015,4,11,99,15360,-110,HIGH
2015,4,11,14,16994,-452,Special
2015,4,13,172,15600,240,HIGH
2015,4,13,25,18788,1794,Special
2015,4,14,169,16154,554,HIGH
2015,4,14,24,17807,-981,Special
2015,4,15,161,17503,1349,HIGH
2015,4,15,23,19071,1264,Special
2015,4,16,145,17567,64,HIGH
2015,4,16,21,19000,-71,Special
2015,4,17,168,18859,1292,HIGH
2015,4,17,24,20546,1546,Special
2015,4,18,96,20606,1747,HIGH
2015,4,18,14,22000,1454,Special
2015,4,20,187,17923,-2683,HIGH
2015,4,20,27,19504,-2496,Special
2015,4,21,198,16440,-1483,HIGH
2015,4,21,28,20916,1412,Special
2015,4,22,192,15923,-517,HIGH
2015,4,22,28,18254,-2662,Special
2015,4,23,148,15536,-387,HIGH
2015,4,23,21,17923,-331,Special
2015,4,24,210,14535,-1001,HIGH
2015,4,24,30,17617,-306,Special
2015,4,25,104,12639,-1896,HIGH
2015,4,25,15,14947,-2670,Special
2015,4,27,159,12502,-137,HIGH
2015,4,27,23,14790,-157,Special
2015,4,28,187,10929,-1573,HIGH
2015,4,28,27,13033,-1757,Special
2015,4,29,140,11384,455,HIGH
2015,4,29,20,13099,66,Special
2015,4,30,165,11743,359,HIGH
2015,4,30,24,13288,189,Special
2015,5,1,142,11863,120,HIGH
2015,5,1,20,13547,259,Special
2015,5,2,57,10004,-1859,HIGH
2015,5,2,8,14081,534,Special
2015,5,4,181,9760,-244,HIGH
2015,5,4,26,12946,-1135,Special
2015,5,5,182,9240,-520,HIGH
2015,5,5,26,11365,-1581,Special
2015,5,6,176,8487,-753,HIGH
2015,5,6,25,10619,-746,Special
2015,5,7,168,7889,-598,HIGH
2015,5,7,24,9834,-785,Special
2015,5,8,177,8058,169,HIGH
2015,5,8,25,9460,-374,Special
2015,5,9,126,8216,158,HIGH
2015,5,9,18,9417,-43,Special
2015,5,11,156,8673,457,HIGH
2015,5,11,22,9763,346,Special
2015,5,12,131,8648,-25,HIGH
2015,5,12,19,10048,285,Special
2015,5,13,145,9520,872,HIGH
2015,5,13,21,10360,312,Special
2015,5,14,134,10736,1216,HIGH
2015,5,14,19,12085,1725,Special
2015,5,15,161,12459,1723,HIGH
2015,5,15,23,14000,1915,Special
2015,5,16,122,13873,1414,HIGH
2015,5,16,17,15487,1487,Special
2015,5,18,251,12700,-1173,HIGH
2015,5,18,36,15498,11,Special
2015,5,19,183,12376,-324,HIGH
2015,5,19,26,14704,-794,Special
2015,5,20,211,11628,-748,HIGH
2015,5,20,30,13601,-1103,Special
2015,5,21,176,10778,-850,HIGH
2015,5,21,25,12423,-1178,Special
2015,5,22,195,10451,-327,HIGH
2015,5,22,28,12419,-4,Special
2015,5,23,76,10240,-211,HIGH
2015,5,23,11,12185,-234,Special
2015,5,25,155,11187,947,HIGH
2015,5,25,22,13021,836,Special
2015,5,26,201,10468,-719,HIGH
2015,5,26,29,12563,-458,Special
2015,5,27,195,12070,1602,HIGH
2015,5,27,28,13000,437,Special
2015,5,28,169,12511,441,HIGH
2015,5,28,24,13945,945,Special
2015,5,29,207,13323,812,HIGH
2015,5,29,30,14942,997,Special
2015,5,30,127,13896,573,HIGH
2015,5,30,18,16260,1318,Special
2015,6,1,178,11822,-2074,HIGH
2015,6,1,25,14151,-2109,Special
2015,6,2,212,9850,-1972,HIGH
2015,6,2,30,11840,-2311,Special
2015,6,3,214,8454,-1396,HIGH
2015,6,3,30,10351,-1489,Special
2015,6,4,196,6774,-1680,HIGH
2015,6,4,28,8282,-2069,Special
2015,6,5,183,6245,-529,HIGH
2015,6,5,26,7179,-1103,Special
2015,6,6,160,6048,-197,HIGH
