DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2025-04-12,고구마,74,129,100,13,2,1,32,26,0
2025-04-11,고구마,130,108,89,11,0,13,37,68,0
2025-04-10,고구마,108,131,114,19,0,7,23,59,0
2025-04-09,고구마,131,143,127,9,0,6,44,72,0
2025-04-08,고구마,142,154,138,20,2,0,53,68,0
2025-04-07,고구마,153,0,0,10,4,17,56,67,0
2025-04-05,고구마,92,140,147,7,2,4,33,47,0
2025-04-04,고구마,140,142,96,13,5,9,32,81,0
2025-04-03,고구마,142,134,137,20,4,13,39,66,0
2025-04-02,고구마,132,140,132,15,2,12,23,82,0
2025-04-01,고구마,140,153,144,14,8,11,49,58,0
2025-03-31,고구마,153,0,0,7,7,22,45,72,0
2025-03-29,고구마,92,155,116,7,2,0,41,42,0
2025-03-28,고구마,154,115,118,14,2,25,21,93,0
2025-03-27,고구마,115,100,165,25,2,12,26,50,0
2025-03-26,고구마,99,163,133,19,2,5,25,49,0
2025-03-25,고구마,162,142,164,12,4,21,58,68,0
2025-03-24,고구마,143,0,0,14,0,12,34,82,0
2025-03-22,고구마,81,151,111,10,1,11,30,30,0
2025-03-21,고구마,151,131,140,4,2,17,51,77,0
2025-03-20,고구마,130,163,162,7,0,12,31,81,0
2025-03-19,고구마,163,173,147,14,4,22,54,69,0
2025-03-18,고구마,172,175,168,10,4,19,70,70,0
2025-03-17,고구마,176,0,0,13,0,23,53,86,0
2025-03-15,고구마,88,104,145,5,0,3,61,19,0
2025-03-14,고구마,104,110,120,5,0,14,31,54,0
2025-03-13,고구마,110,138,142,10,0,8,34,58,0
2025-03-12,고구마,138,190,141,14,0,18,38,68,0
2025-03-11,고구마,190,202,195,22,4,21,49,94,0
2025-03-10,고구마,201,0,0,21,6,34,63,78,0
2025-03-08,고구마,154,147,187,17,0,22,45,71,0
2025-03-07,고구마,147,222,157,2,2,38,36,69,0
2025-03-06,고구마,223,0,150,16,5,31,86,84,0
2025-03-04,고구마,183,134,203,8,0,26,51,98,0
2025-03-03,고구마,133,0,0,15,3,23,50,43,0
2025-03-01,고구마,103,138,102,9,0,20,31,43,0
2025-02-28,고구마,138,252,260,7,0,23,43,65,0
2025-02-27,고구마,126,158,162,17,6,7,36,60,0
2025-02-26,고구마,159,137,189,16,0,31,45,66,0
2025-02-25,고구마,137,171,0,14,0,7,40,76,0
2025-02-24,고구마,171,0,90,11,6,13,72,69,0
2025-02-22,고구마,90,165,104,10,0,11,25,45,0
2025-02-21,고구마,165,167,160,8,0,20,55,82,0
2025-02-20,고구마,166,161,121,17,4,19,48,79,0
2025-02-19,고구마,161,189,159,5,0,26,43,87,0
2025-02-18,고구마,189,249,0,12,3,23,49,102,0
2025-02-17,고구마,249,0,122,16,4,26,88,115,0
2025-02-15,고구마,151,178,159,21,0,14,58,58,0
2025-02-14,고구마,178,209,129,14,0,23,63,78,0
2025-02-13,고구마,210,0,112,13,4,24,73,95,0
2025-02-11,고구마,153,217,0,20,0,21,20,92,0
2025-02-10,고구마,217,0,0,16,0,35,66,100,0
2025-02-08,고구마,82,153,105,9,0,8,23,42,0
2025-02-07,고구마,153,128,129,14,3,8,67,61,0
2025-02-06,고구마,128,186,147,11,0,24,39,54,0
2025-02-05,고구마,185,170,266,9,0,20,57,100,0
2025-02-04,고구마,169,223,0,13,0,9,54,94,0
2025-02-03,고구마,223,0,126,16,0,31,78,98,0
2025-02-01,고구마,87,0,188,13,0,11,49,15,0
2025-01-27,고구마,76,0,103,10,3,16,15,33,0
2025-01-25,고구마,69,150,125,5,2,11,15,36,0
2025-01-24,고구마,149,132,142,0,3,22,42,83,0
2025-01-23,고구마,133,197,149,9,0,17,39,67,0
2025-01-22,고구마,197,199,196,17,0,8,78,94,0
2025-01-21,고구마,199,242,0,26,0,12,62,99,0
2025-01-20,고구마,242,0,112,18,5,33,85,101,0
2025-01-18,고구마,117,190,185,11,0,4,52,50,0
2025-01-17,고구마,191,164,162,19,3,23,45,100,0
2025-01-16,고구마,165,206,172,12,0,10,52,90,0
2025-01-15,고구마,206,163,187,31,0,26,64,85,0
2025-01-14,고구마,164,209,0,9,0,21,43,90,0
2025-01-13,고구마,209,0,75,25,1,22,60,101,0
2025-01-11,고구마,55,114,159,9,0,8,11,27,0
2025-01-10,고구마,114,162,198,10,0,14,40,50,0
2025-01-09,고구마,161,188,208,19,0,8,45,90,0
2025-01-08,고구마,187,204,243,20,0,15,62,91,0
2025-01-07,고구마,204,178,0,25,1,20,52,106,0
2025-01-06,고구마,177,0,114,19,0,14,65,80,0
2025-01-04,고구마,114,214,234,20,0,0,44,49,0
2025-01-03,고구마,214,0,242,15,1,12,106,80,0
2024-12-31,고구마,159,163,0,12,0,38,32,76,0
2024-12-30,고구마,162,0,126,13,0,21,68,61,0
2024-12-28,고구마,87,115,187,7,0,6,46,28,0
2024-12-27,고구마,115,139,174,8,0,20,37,50,0
2024-12-26,고구마,138,104,123,15,1,8,39,76,0
2024-12-25,고구마,104,188,116,7,0,15,30,52,0
2024-12-24,고구마,188,154,0,16,0,18,50,104,0
2024-12-23,고구마,154,0,81,11,0,16,56,71,0
2024-12-21,고구마,118,126,118,4,0,24,49,40,0
2024-12-20,고구마,127,129,162,2,0,21,38,65,0
2024-12-19,고구마,129,144,143,13,0,12,33,71,0
2024-12-18,고구마,144,158,181,2,0,13,51,78,0
2024-12-17,고구마,158,150,0,11,1,22,35,89,0
2024-12-16,고구마,150,0,72,15,0,12,77,46,0
2024-12-14,고구마,113,132,100,8,2,14,48,42,0
2024-12-13,고구마,132,171,137,8,0,15,65,44,0
2024-12-12,고구마,170,158,149,23,1,19,60,68,0
2024-12-11,고구마,158,195,158,9,0,5,71,73,0
