DATE,품목명,단위,등급명,평균가격,전일,전년
2025-04-13,토마토,5키로상자,특,0,"14,860","27,072"
2025-04-13,토마토,10키로상자,특,0,"34,800","66,566"
2025-04-12,토마토,5키로상자,특,"14,860","15,256","26,884"
2025-04-12,토마토,10키로상자,특,"34,800","40,264","50,000"
2025-04-11,토마토,5키로상자,특,"15,256","15,710","28,329"
2025-04-11,토마토,10키로상자,특,"40,264","32,000","70,090"
2025-04-10,토마토,5키로상자,특,"15,710",0,0
2025-04-10,토마토,10키로상자,특,"32,000",0,0
2025-04-09,토마토,5키로상자,특,"14,431",0,0
2025-04-09,토마토,10키로상자,특,"42,978",0,0
2025-04-08,토마토,5키로상자,특,"15,960",0,0
2025-04-08,토마토,10키로상자,특,"30,000",0,0
2025-04-07,토마토,5키로상자,특,"15,238",0,0
2025-04-07,토마토,10키로상자,특,"46,170",0,0
2025-04-05,토마토,5키로상자,특,"14,828",0,0
2025-04-05,토마토,10키로상자,특,"37,750",0,0
2025-04-04,토마토,5키로상자,특,"15,307",0,0
2025-04-04,토마토,10키로상자,특,"51,915",0,0
2025-04-03,토마토,5키로상자,특,"15,896",0,0
2025-04-03,토마토,10키로상자,특,"31,000",0,0
2025-04-02,토마토,5키로상자,특,"14,697",0,0
2025-04-02,토마토,10키로상자,특,"45,976",0,0
2025-04-01,토마토,5키로상자,특,"15,093","16,000",0
2025-04-01,토마토,10키로상자,특,"32,000","45,667",0
2025-03-31,토마토,5키로상자,특,"16,000",0,"29,472"
2025-03-31,토마토,10키로상자,특,"45,667",0,"46,000"
2025-03-30,토마토,5키로상자,특,0,"15,520","30,227"
2025-03-30,토마토,10키로상자,특,0,"44,455","69,906"
2025-03-29,토마토,5키로상자,특,"15,520","15,750","30,014"
2025-03-29,토마토,10키로상자,특,"44,455","47,686","48,000"
2025-03-28,토마토,5키로상자,특,"15,750","17,000","29,768"
2025-03-28,토마토,10키로상자,특,"47,686","38,556","68,500"
2025-03-27,토마토,5키로상자,특,"17,000","16,382","30,399"
