DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2025-04-12,토마토,187,181,174,60,27,81,12,6,0
2025-04-11,토마토,181,129,134,63,30,69,12,7,0
2025-04-10,토마토,129,185,177,42,23,45,14,5,0
2025-04-09,토마토,185,160,132,53,21,89,11,11,0
2025-04-08,토마토,161,228,184,62,22,58,13,5,0
2025-04-07,토마토,227,0,0,76,37,84,20,11,0
2025-04-05,토마토,163,212,163,56,20,72,9,5,0
2025-04-04,토마토,211,142,96,73,26,93,13,7,0
2025-04-03,토마토,142,159,119,49,30,46,12,5,0
2025-04-02,토마토,160,175,130,49,25,63,16,6,0
2025-04-01,토마토,174,252,182,67,28,56,16,8,0
2025-03-31,토마토,252,0,0,79,44,94,20,15,0
2025-03-29,토마토,186,209,126,65,33,69,11,9,0
2025-03-28,토마토,209,150,91,71,32,80,16,10,0
2025-03-27,토마토,150,163,110,48,30,54,11,7,0
2025-03-26,토마토,163,161,111,51,26,60,16,10,0
2025-03-25,토마토,161,241,182,57,24,54,15,11,0
2025-03-24,토마토,241,0,0,82,39,92,17,11,0
2025-03-22,토마토,150,175,136,52,20,65,7,7,0
2025-03-21,토마토,176,133,121,61,29,67,12,6,0
2025-03-20,토마토,133,143,137,50,22,48,8,5,0
2025-03-19,토마토,143,136,118,54,15,58,7,9,0
2025-03-18,토마토,137,211,187,51,21,47,13,4,0
2025-03-17,토마토,212,0,0,68,32,85,17,9,0
2025-03-15,토마토,126,169,155,40,16,62,4,4,0
2025-03-14,토마토,169,123,91,63,25,65,11,5,0
2025-03-13,토마토,123,128,112,48,14,47,10,4,0
2025-03-12,토마토,128,135,105,41,21,55,6,5,0
2025-03-11,토마토,135,171,182,48,17,53,13,4,0
2025-03-10,토마토,171,0,0,56,25,71,12,7,0
2025-03-08,토마토,100,143,126,36,13,46,2,3,0
2025-03-07,토마토,144,144,86,51,20,58,11,3,0
2025-03-06,토마토,145,1,111,53,18,57,12,4,0
2025-03-05,토마토,1,144,96,1,0,0,0,0,0
2025-03-04,토마토,144,196,168,43,24,59,12,6,0
2025-03-03,토마토,196,0,0,65,30,81,10,10,0
2025-03-01,토마토,120,175,179,49,12,51,4,4,0
2025-02-28,토마토,175,214,187,58,26,75,11,5,0
2025-02-27,토마토,108,120,83,38,14,49,4,2,0
2025-02-26,토마토,120,124,116,43,16,47,8,6,0
2025-02-25,토마토,124,162,0,44,14,54,8,4,0
2025-02-24,토마토,162,0,73,62,25,62,7,6,0
2025-02-22,토마토,119,161,73,45,11,56,4,3,0
2025-02-21,토마토,160,102,84,53,25,67,11,5,0
2025-02-20,토마토,102,115,78,39,11,47,2,3,0
2025-02-19,토마토,115,114,148,46,9,48,7,5,0
2025-02-18,토마토,113,155,0,36,16,51,8,3,0
2025-02-17,토마토,155,0,75,69,21,50,10,5,0
2025-02-15,토마토,113,131,91,45,12,51,1,4,0
2025-02-14,토마토,131,109,157,45,15,58,9,4,0
2025-02-13,토마토,109,0,162,40,10,51,4,4,0
2025-02-11,토마토,117,128,0,46,17,42,9,3,0
2025-02-10,토마토,129,0,0,45,16,57,7,3,0
2025-02-08,토마토,99,114,111,33,9,49,4,4,0
2025-02-07,토마토,115,74,80,34,14,51,12,3,0
2025-02-06,토마토,73,86,83,30,10,28,4,2,0
2025-02-05,토마토,86,91,119,27,6,43,2,8,0
2025-02-04,토마토,90,130,0,37,10,36,5,3,0
2025-02-03,토마토,131,0,73,43,20,52,9,6,0
2025-02-01,토마토,206,0,69,77,24,88,10,7,0
2025-01-28,토마토,77,168,0,31,6,31,6,4,0
2025-01-27,토마토,167,0,83,47,18,75,16,12,0
2025-01-25,토마토,113,111,65,43,17,41,9,4,0
2025-01-24,토마토,111,76,69,38,13,53,5,2,0
2025-01-23,토마토,76,103,67,30,9,32,3,2,0
2025-01-22,토마토,102,88,81,31,7,49,12,4,0
2025-01-21,토마토,88,132,0,39,13,29,5,2,0
2025-01-20,토마토,131,0,80,45,18,58,6,5,0
2025-01-18,토마토,103,119,76,33,8,55,5,2,0
2025-01-17,토마토,118,63,72,40,17,49,9,4,0
2025-01-16,토마토,62,98,80,21,10,28,2,2,0
2025-01-15,토마토,98,100,94,31,11,44,9,3,0
2025-01-14,토마토,100,111,0,36,14,40,7,3,0
2025-01-13,토마토,110,0,57,34,15,53,4,5,0
2025-01-11,토마토,84,138,61,26,7,43,7,1,0
2025-01-10,토마토,137,48,71,56,16,53,11,2,0
2025-01-09,토마토,47,76,78,17,11,15,3,2,0
2025-01-08,토마토,76,93,109,15,11,40,7,3,0
2025-01-07,토마토,93,133,0,39,9,37,5,3,0
2025-01-06,토마토,133,0,75,46,19,51,12,5,0
2025-01-04,토마토,123,167,90,43,14,58,7,2,0
2025-01-03,토마토,167,0,209,61,25,67,11,3,0
2024-12-31,토마토,125,137,0,41,13,60,7,5,0
2024-12-30,토마토,137,0,106,40,23,60,10,4,0
2024-12-28,토마토,82,143,56,26,9,39,6,3,0
