DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%),humidity,insolation,precipitation,temperature,wind
2020-04-09,토마토,5키로상자,상,16905,,,0,0,171.0,-95.0,-35.714285714285715,44.6,11.8,,8.9,2.8
2020-04-10,토마토,5키로상자,상,15586,-1319.0,-7.802425317953267,0,0,266.0,72.0,37.11340206185567,52.6,9.2,,10.7,2.4
2020-04-11,토마토,5키로상자,상,14286,-1300.0,-8.34081868343385,0,0,194.0,-119.0,-38.019169329073485,63.8,8.8,,9.9,2.5
2020-04-12,토마토,5키로상자,상,0,0.0,0.0,0,1,,,,58.6,8.3,,9.9,3.8
2020-04-13,토마토,5키로상자,상,14771,14771.0,1477100.0,0,0,313.0,111.0,54.95049504950495,39.4,12.2,,12.4,3.1
2020-04-14,토마토,5키로상자,상,14359,-412.0,-2.789249204522375,0,0,202.0,14.0,7.446808510638298,46.8,12.1,,13.0,2.4
2020-04-15,토마토,5키로상자,상,13052,-1307.0,-9.102305174455044,0,0,188.0,2.0,1.0752688172043012,39.8,10.0,,13.2,2.2
2020-04-16,토마토,5키로상자,상,13177,125.0,0.957707631014404,0,0,186.0,-58.0,-23.770491803278688,39.9,10.6,,16.0,2.3
2020-04-17,토마토,5키로상자,상,13056,-121.0,-0.9182666767853076,0,0,244.0,67.0,37.85310734463277,77.8,0.3,6.5,12.5,2.4
2020-04-18,토마토,5키로상자,상,12462,-594.0,-4.549632352941177,0,0,177.0,-107.0,-37.67605633802817,67.9,10.4,,13.5,2.6
2020-04-19,토마토,5키로상자,상,0,0.0,0.0,0,1,,,,75.8,0.3,10.3,12.3,2.7
2020-04-20,토마토,5키로상자,상,12872,12872.0,1287200.0,0,0,284.0,90.0,46.39175257731959,73.0,1.3,0.1,10.0,3.3
2020-04-21,토마토,5키로상자,상,11757,-1115.0,-8.662212554381602,0,0,194.0,3.0,1.5706806282722512,49.0,10.1,,7.4,4.4
2020-04-22,토마토,5키로상자,상,13851,2094.0,17.810665986220975,0,0,191.0,22.0,13.017751479289942,46.8,5.3,0.0,6.0,4.0
2020-04-23,토마토,5키로상자,상,13740,-111.0,-0.8013861815031406,0,0,169.0,-107.0,-38.76811594202898,47.8,11.8,,7.9,3.7
2020-04-24,토마토,5키로상자,상,11921,-1819.0,-13.23871906841339,0,0,276.0,63.0,29.577464788732392,55.6,12.0,,9.9,3.9
2020-04-25,토마토,5키로상자,상,11422,-499.0,-4.18589044543243,0,0,213.0,-143.0,-40.16853932584269,54.4,8.5,,13.1,3.9
2020-04-26,토마토,5키로상자,상,0,0.0,0.0,0,1,,,,43.1,12.5,,12.3,3.2
2020-04-27,토마토,5키로상자,상,12293,12293.0,1229300.0,0,0,356.0,106.0,42.4,49.8,9.7,,12.9,2.8
2020-04-28,토마토,5키로상자,상,11299,-994.0,-8.085902546164483,0,0,250.0,-3.0,-1.185770750988142,50.0,12.6,,13.9,3.0
2020-04-29,토마토,5키로상자,상,11922,623.0,5.513762279847774,0,0,253.0,30.0,13.452914798206278,48.6,12.2,,14.9,2.6
2020-04-30,토마토,5키로상자,상,12857,935.0,7.842643851702734,0,0,223.0,-116.0,-34.21828908554572,57.1,8.2,,17.1,2.7
2020-05-01,토마토,5키로상자,상,10389,-2468.0,-19.19576884187602,0,0,339.0,74.0,27.92452830188679,73.6,6.1,,20.2,2.7
2020-05-02,토마토,5키로상자,상,10370,-19.0,-0.1828857445374915,0,0,265.0,-142.0,-34.88943488943489,79.6,0.2,0.0,20.3,2.3
2020-05-03,,,,0,0.0,0.0,0,1,,,,68.8,5.9,0.0,21.8,2.0
2020-05-04,토마토,5키로상자,상,9181,9181.0,918100.0,0,0,407.0,95.0,30.448717948717945,63.9,10.1,,20.2,2.7
2020-05-05,토마토,5키로상자,상,7299,-1882.0,-20.49885633373271,0,0,312.0,-2.0,-0.6369426751592357,67.9,3.3,,16.0,1.9
2020-05-06,토마토,5키로상자,상,7224,-75.0,-1.0275380189066996,0,0,314.0,24.0,8.275862068965518,50.0,12.8,,19.4,2.1
2020-05-07,토마토,5키로상자,상,7012,-212.0,-2.934662236987818,0,0,290.0,-73.0,-20.110192837465565,32.5,8.7,,20.7,2.5
2020-05-08,토마토,5키로상자,상,6921,-91.0,-1.2977752424415288,0,0,363.0,28.0,8.358208955223882,32.8,7.5,2.3,19.9,2.4
